Delta = -7.759e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      5.22982e+00       0.00000e+00       3.48655e+00
    1  2.00e-06      5.10783e+00       5.23046e-04       3.40540e+00
    2  4.00e-06      5.11705e+00       1.18369e-03       3.41176e+00
    3  6.00e-06      5.13656e+00       1.84523e-03       3.42499e+00
    4  8.00e-06      5.10824e+00       2.76938e-03       3.40642e+00
    5  1.00e-05      5.07647e+00       2.91779e-03       3.38528e+00
    6  1.20e-05      5.07635e+00       4.20685e-03       3.38564e+00
    7  1.40e-05      5.09470e+00       4.27191e-03       3.39789e+00
    8  1.60e-05      5.08728e+00       5.11020e-03       3.39322e+00
    9  1.80e-05      5.07110e+00       6.54754e-03       3.38292e+00
   10  2.00e-05      5.09116e+00       5.39562e-03       3.39591e+00
   11  2.20e-05      5.10773e+00       7.41603e-03       3.40762e+00
   12  2.40e-05      5.10985e+00       9.14799e-03       3.40962e+00
   13  2.60e-05      5.13249e+00       6.45094e-03       3.42381e+00
   14  2.80e-05      5.10901e+00       8.71862e-03       3.40891e+00
   15  3.00e-05      5.11147e+00       7.36549e-03       3.41010e+00
   16  3.20e-05      5.10837e+00       9.88885e-03       3.40888e+00
   17  3.40e-05      5.09853e+00       8.49887e-03       3.40186e+00
   18  3.60e-05      5.09332e+00       7.87888e-03       3.39817e+00
   19  3.80e-05      5.09556e+00       1.10879e-02       3.40074e+00
   20  4.00e-05      5.04677e+00       1.24986e-02       3.36868e+00
   21  4.20e-05      5.04809e+00       1.09871e-02       3.36906e+00
   22  4.40e-05      5.06044e+00       1.34970e-02       3.37812e+00
   23  4.60e-05      5.03328e+00       1.61593e-02       3.36090e+00
   24  4.80e-05      5.03692e+00       1.70851e-02       3.36364e+00
   25  5.00e-05      5.04438e+00       1.34885e-02       3.36741e+00
   26  5.20e-05      5.05541e+00       1.42385e-02       3.37502e+00
   27  5.40e-05      5.07387e+00       1.39269e-02       3.38722e+00
   28  5.60e-05      5.07394e+00       1.82773e-02       3.38872e+00
