Delta = -2.632e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
   92  9.20e-04      3.09784e+00       2.80224e-01       2.15863e+00
   93  9.30e-04      3.14175e+00       3.13427e-01       2.19898e+00
   94  9.40e-04      3.15626e+00       2.67031e-01       2.19319e+00
   95  9.50e-04      3.22972e+00       3.29764e-01       2.26307e+00
   96  9.60e-04      3.25171e+00       2.44719e-01       2.24938e+00
   97  9.70e-04      3.28198e+00       2.89108e-01       2.28436e+00
   98  9.80e-04      3.25173e+00       2.68828e-01       2.25743e+00
   99  9.90e-04      3.27626e+00       3.10797e-01       2.28778e+00
  100  1.00e-03      3.34516e+00       2.79931e-01       2.32342e+00
  101  1.01e-03      3.39108e+00       2.79578e-01       2.35391e+00
  102  1.02e-03      3.41342e+00       3.14147e-01       2.38033e+00
  103  1.03e-03      3.45355e+00       2.47652e-01       2.38492e+00
  104  1.04e-03      3.52066e+00       3.30530e-01       2.45728e+00
  105  1.05e-03      3.56831e+00       2.98043e-01       2.47822e+00
  106  1.06e-03      3.57311e+00       3.00045e-01       2.48209e+00
  107  1.07e-03      3.60448e+00       2.65420e-01       2.49146e+00
  108  1.08e-03      3.63611e+00       3.44759e-01       2.53900e+00
  109  1.09e-03      3.67240e+00       3.22130e-01       2.55564e+00
  110  1.10e-03      3.69751e+00       2.74865e-01       2.55663e+00
  111  1.11e-03      3.67361e+00       2.99323e-01       2.54885e+00
  112  1.12e-03      3.73190e+00       2.52186e-01       2.57199e+00
  113  1.13e-03      3.68663e+00       2.60091e-01       2.54445e+00
  114  1.14e-03      3.75495e+00       2.70861e-01       2.59359e+00
  115  1.15e-03      3.80340e+00       2.65181e-01       2.62400e+00
  116  1.16e-03      3.81612e+00       2.29657e-01       2.62064e+00
  117  1.17e-03      3.82357e+00       2.30537e-01       2.62589e+00
  118  1.18e-03      3.95129e+00       2.57611e-01       2.72007e+00
  119  1.19e-03      3.99269e+00       2.51674e-01       2.74569e+00
  120  1.20e-03      4.01373e+00       2.63160e-01       2.76354e+00
  121  1.21e-03      4.02216e+00       3.28153e-01       2.79082e+00
  122  1.22e-03      4.07435e+00       2.58732e-01       2.80248e+00
  123  1.23e-03      4.12626e+00       3.28171e-01       2.86023e+00
  124  1.24e-03      4.19288e+00       2.94122e-01       2.89329e+00
  125  1.25e-03      4.21394e+00       3.29266e-01       2.91905e+00
  126  1.26e-03      4.20758e+00       3.00573e-01       2.90524e+00
  127  1.27e-03      4.24582e+00       3.67465e-01       2.95303e+00
  128  1.28e-03      4.26932e+00       3.72157e-01       2.97026e+00
  129  1.29e-03      4.22084e+00       2.97364e-01       2.91302e+00
  130  1.30e-03      4.25648e+00       3.18765e-01       2.94391e+00
  131  1.31e-03      4.32865e+00       3.73051e-01       3.01012e+00
  132  1.32e-03      4.37360e+00       3.37823e-01       3.02834e+00
  133  1.33e-03      4.35328e+00       3.51923e-01       3.01950e+00
  134  1.34e-03      4.38548e+00       3.33595e-01       3.03485e+00
  135  1.35e-03      4.43364e+00       3.10619e-01       3.05930e+00
  136  1.36e-03      4.49895e+00       3.14979e-01       3.10429e+00
  137  1.37e-03      4.52383e+00       3.76156e-01       3.14127e+00
  138  1.38e-03      4.56606e+00       3.45427e-01       3.15918e+00
  139  1.39e-03      4.67585e+00       3.25478e-01       3.22573e+00
  140  1.40e-03      4.68953e+00       2.87357e-01       3.22214e+00
  141  1.41e-03      4.74057e+00       3.64347e-01       3.28183e+00
  142  1.42e-03      4.73535e+00       3.36663e-01       3.26912e+00
  143  1.43e-03      4.84078e+00       3.11445e-01       3.33100e+00
  144  1.44e-03      4.79931e+00       3.57185e-01       3.31860e+00
  145  1.45e-03      4.87791e+00       3.04180e-01       3.35333e+00
  146  1.46e-03      4.93278e+00       3.84331e-01       3.41663e+00
  147  1.47e-03      4.91772e+00       3.37953e-01       3.39113e+00
  148  1.48e-03      5.07218e+00       3.53191e-01       3.49918e+00
  149  1.49e-03      5.08933e+00       2.99131e-01       3.49259e+00
  150  1.50e-03      5.11519e+00       3.74022e-01       3.53480e+00
  151  1.51e-03      5.12940e+00       3.67921e-01       3.54224e+00
  152  1.52e-03      5.24863e+00       2.94678e-01       3.59732e+00
  153  1.53e-03      5.38947e+00       2.88725e-01       3.68922e+00
  154  1.54e-03      5.42132e+00       2.37887e-01       3.69351e+00
  155  1.55e-03      5.41177e+00       2.53326e-01       3.69229e+00
  156  1.56e-03      5.41193e+00       1.89066e-01       3.67098e+00
  157  1.57e-03      5.42662e+00       2.79985e-01       3.71108e+00
  158  1.58e-03      5.46664e+00       2.57208e-01       3.73017e+00
  159  1.59e-03      5.50570e+00       2.49078e-01       3.75349e+00
  160  1.60e-03      5.52625e+00       2.40204e-01       3.76423e+00
  161  1.61e-03      5.46627e+00       2.53139e-01       3.72856e+00
  162  1.62e-03      5.52262e+00       2.84640e-01       3.77663e+00
  163  1.63e-03      5.60942e+00       2.76118e-01       3.83165e+00
  164  1.64e-03      5.59688e+00       2.40423e-01       3.81139e+00
  165  1.65e-03      5.59584e+00       2.93437e-01       3.82837e+00
  166  1.66e-03      5.75122e+00       2.86823e-01       3.92975e+00
  167  1.67e-03      5.84486e+00       2.51704e-01       3.98048e+00
  168  1.68e-03      5.86558e+00       2.42881e-01       3.99135e+00
  169  1.69e-03      5.87967e+00       2.69244e-01       4.00953e+00
  170  1.70e-03      5.96645e+00       2.46955e-01       4.05995e+00
  171  1.71e-03      6.04169e+00       2.30867e-01       4.10475e+00
  172  1.72e-03      6.05080e+00       2.95558e-01       4.13239e+00
  173  1.73e-03      6.06494e+00       2.87697e-01       4.13919e+00
  174  1.74e-03      6.01294e+00       3.04852e-01       4.11024e+00
  175  1.75e-03      6.06416e+00       2.96628e-01       4.14165e+00
  176  1.76e-03      6.21191e+00       2.52536e-01       4.22545e+00
  177  1.77e-03      6.20433e+00       2.74667e-01       4.22777e+00
  178  1.78e-03      6.23452e+00       2.67513e-01       4.24552e+00
  179  1.79e-03      6.25843e+00       2.94064e-01       4.27031e+00
  180  1.80e-03      6.31396e+00       3.25794e-01       4.31790e+00
  181  1.81e-03      6.36493e+00       2.87851e-01       4.33924e+00
  182  1.82e-03      6.36542e+00       2.79484e-01       4.33678e+00
  183  1.83e-03      6.51253e+00       3.10816e-01       4.44529e+00
  184  1.84e-03      6.64780e+00       3.12147e-01       4.53592e+00
  185  1.85e-03      6.78048e+00       3.21925e-01       4.62763e+00
  186  1.86e-03      6.83931e+00       2.25693e-01       4.63477e+00
  187  1.87e-03      6.93526e+00       2.52755e-01       4.70776e+00
  188  1.88e-03      7.00503e+00       2.63727e-01       4.75793e+00
  189  1.89e-03      7.05687e+00       2.67163e-01       4.79363e+00
  190  1.90e-03      7.13058e+00       2.64253e-01       4.84181e+00
  191  1.91e-03      7.02516e+00       2.64397e-01       4.77157e+00
  192  1.92e-03      7.15914e+00       2.87589e-01       4.86862e+00
  193  1.93e-03      7.21104e+00       2.81156e-01       4.90108e+00
  194  1.94e-03      7.27259e+00       2.98509e-01       4.94790e+00
  195  1.95e-03      7.21237e+00       2.73677e-01       4.89947e+00
  196  1.96e-03      7.32062e+00       2.46121e-01       4.96245e+00
  197  1.97e-03      7.36056e+00       2.70569e-01       4.99723e+00
  198  1.98e-03      7.55903e+00       2.99955e-01       5.13934e+00
  199  1.99e-03      7.54426e+00       2.80425e-01       5.12298e+00
  200  2.00e-03      7.50173e+00       2.81109e-01       5.09486e+00
  201  2.01e-03      7.59701e+00       3.01202e-01       5.16508e+00
  202  2.02e-03      7.63935e+00       2.93159e-01       5.19062e+00
  203  2.03e-03      7.71361e+00       2.34035e-01       5.22042e+00
  204  2.04e-03      7.75738e+00       2.95220e-01       5.26999e+00
  205  2.05e-03      7.78132e+00       2.24936e-01       5.26253e+00
  206  2.06e-03      7.81156e+00       3.02050e-01       5.30839e+00
  207  2.07e-03      7.83735e+00       3.27184e-01       5.33396e+00
  208  2.08e-03      7.88113e+00       3.17331e-01       5.35986e+00
