Delta = -1.265e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      2.75564e-03       4.33139e-03       3.28089e-03
    2  2.00e-06      6.66599e-03       1.05434e-02       7.95846e-03
    3  3.00e-06      1.04478e-02       1.74923e-02       1.27960e-02
    4  4.00e-06      1.34081e-02       2.01973e-02       1.56712e-02
    5  5.00e-06      1.71619e-02       2.75502e-02       2.06247e-02
    6  6.00e-06      1.97020e-02       2.79880e-02       2.24640e-02
    7  7.00e-06      2.18313e-02       3.27671e-02       2.54766e-02
    8  8.00e-06      2.44830e-02       3.63273e-02       2.84311e-02
    9  9.00e-06      2.60264e-02       3.74635e-02       2.98388e-02
   10  1.00e-05      2.93864e-02       4.32143e-02       3.39957e-02
   11  1.10e-05      3.24602e-02       4.40685e-02       3.63296e-02
   12  1.20e-05      3.60136e-02       4.92370e-02       4.04214e-02
   13  1.30e-05      3.81113e-02       6.11258e-02       4.57828e-02
   14  1.40e-05      3.93494e-02       5.09136e-02       4.32041e-02
   15  1.50e-05      4.10449e-02       6.88170e-02       5.03023e-02
   16  1.60e-05      4.20833e-02       6.79207e-02       5.06957e-02
   17  1.70e-05      4.42767e-02       6.43446e-02       5.09660e-02
   18  1.80e-05      4.79560e-02       8.24994e-02       5.94705e-02
   19  1.90e-05      4.80392e-02       7.86217e-02       5.82334e-02
   20  2.00e-05      4.87783e-02       8.58682e-02       6.11416e-02
   21  2.10e-05      5.39040e-02       7.74149e-02       6.17409e-02
   22  2.20e-05      5.80719e-02       1.03788e-01       7.33107e-02
   23  2.30e-05      6.08308e-02       8.90549e-02       7.02388e-02
   24  2.40e-05      6.47937e-02       1.07547e-01       7.90448e-02
   25  2.50e-05      6.82694e-02       1.10081e-01       8.22066e-02
   26  2.60e-05      6.99289e-02       9.73143e-02       7.90574e-02
   27  2.70e-05      7.27027e-02       1.22331e-01       8.92455e-02
