Delta = -7.755e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      2.58450e-03       4.60620e-03       3.25840e-03
    2  2.00e-06      5.24046e-03       8.04203e-03       6.17432e-03
    3  3.00e-06      8.26456e-03       1.29550e-02       9.82805e-03
    4  4.00e-06      1.13814e-02       1.59368e-02       1.28999e-02
    5  5.00e-06      1.38905e-02       2.11747e-02       1.63186e-02
    6  6.00e-06      1.65967e-02       2.72149e-02       2.01361e-02
    7  7.00e-06      1.95493e-02       3.28858e-02       2.39948e-02
    8  8.00e-06      2.45822e-02       3.28821e-02       2.73488e-02
    9  9.00e-06      2.86067e-02       3.30874e-02       3.01002e-02
   10  1.00e-05      3.07299e-02       3.89854e-02       3.34817e-02
   11  1.10e-05      3.40734e-02       3.98637e-02       3.60035e-02
   12  1.20e-05      3.70936e-02       5.22807e-02       4.21560e-02
   13  1.30e-05      3.96572e-02       5.38384e-02       4.43843e-02
   14  1.40e-05      4.33097e-02       5.59802e-02       4.75332e-02
   15  1.50e-05      4.71946e-02       5.55942e-02       4.99944e-02
   16  1.60e-05      5.15261e-02       6.60039e-02       5.63520e-02
   17  1.70e-05      5.13693e-02       6.54159e-02       5.60515e-02
   18  1.80e-05      5.33153e-02       7.60236e-02       6.08847e-02
   19  1.90e-05      5.59690e-02       7.74587e-02       6.31322e-02
   20  2.00e-05      5.96937e-02       7.45142e-02       6.46339e-02
   21  2.10e-05      6.29526e-02       8.05996e-02       6.88349e-02
   22  2.20e-05      6.79370e-02       8.60666e-02       7.39802e-02
   23  2.30e-05      7.33462e-02       9.31205e-02       7.99376e-02
   24  2.40e-05      8.00004e-02       9.04567e-02       8.34858e-02
   25  2.50e-05      8.48786e-02       9.88733e-02       8.95435e-02
   26  2.60e-05      8.68412e-02       9.35395e-02       8.90740e-02
   27  2.70e-05      9.01084e-02       1.11191e-01       9.71361e-02
   28  2.80e-05      9.56760e-02       1.22529e-01       1.04627e-01
   29  2.90e-05      9.79226e-02       1.05989e-01       1.00611e-01
   30  3.00e-05      9.73848e-02       1.16567e-01       1.03779e-01
   31  3.10e-05      9.93868e-02       1.24978e-01       1.07917e-01
   32  3.20e-05      1.02143e-01       1.07563e-01       1.03950e-01
   33  3.30e-05      1.06411e-01       1.16749e-01       1.09857e-01
   34  3.40e-05      1.13460e-01       1.07873e-01       1.11598e-01
   35  3.50e-05      1.16942e-01       1.11514e-01       1.15133e-01
   36  3.60e-05      1.19977e-01       1.08815e-01       1.16256e-01
   37  3.70e-05      1.19392e-01       1.30250e-01       1.23011e-01
   38  3.80e-05      1.27210e-01       1.01849e-01       1.18756e-01
   39  3.90e-05      1.29104e-01       1.15002e-01       1.24404e-01
   40  4.00e-05      1.33817e-01       1.45915e-01       1.37850e-01
   41  4.10e-05      1.37340e-01       1.39531e-01       1.38070e-01
   42  4.20e-05      1.43027e-01       1.49385e-01       1.45146e-01
   43  4.30e-05      1.47537e-01       1.37732e-01       1.44269e-01
   44  4.40e-05      1.47694e-01       1.43150e-01       1.46179e-01
   45  4.50e-05      1.55087e-01       1.61694e-01       1.57289e-01
   46  4.60e-05      1.62215e-01       1.57228e-01       1.60553e-01
   47  4.70e-05      1.68650e-01       1.57252e-01       1.64851e-01
   48  4.80e-05      1.73401e-01       1.94143e-01       1.80315e-01
   49  4.90e-05      1.76571e-01       1.70775e-01       1.74639e-01
   50  5.00e-05      1.79588e-01       1.92945e-01       1.84040e-01
   51  5.10e-05      1.74259e-01       2.25873e-01       1.91464e-01
   52  5.20e-05      1.78697e-01       1.92289e-01       1.83228e-01
   53  5.30e-05      1.82278e-01       1.60903e-01       1.75153e-01
   54  5.40e-05      1.84278e-01       2.07259e-01       1.91938e-01
   55  5.50e-05      1.91790e-01       1.72163e-01       1.85248e-01
   56  5.60e-05      1.92447e-01       1.97519e-01       1.94137e-01
   57  5.70e-05      2.02410e-01       1.99972e-01       2.01598e-01
   58  5.80e-05      2.12807e-01       1.24194e-01       1.83269e-01
   59  5.90e-05      2.13093e-01       2.02950e-01       2.09712e-01
   60  6.00e-05      2.14234e-01       2.12374e-01       2.13614e-01
   61  6.10e-05      2.15780e-01       1.70548e-01       2.00703e-01
   62  6.20e-05      2.12578e-01       2.41891e-01       2.22349e-01
   63  6.30e-05      2.17471e-01       1.85517e-01       2.06820e-01
   64  6.40e-05      2.19805e-01       2.21363e-01       2.20324e-01
   65  6.50e-05      2.25326e-01       2.27317e-01       2.25990e-01
   66  6.60e-05      2.38223e-01       2.10900e-01       2.29115e-01
   67  6.70e-05      2.40806e-01       2.25672e-01       2.35761e-01
   68  6.80e-05      2.43296e-01       2.12422e-01       2.33004e-01
   69  6.90e-05      2.43714e-01       2.40910e-01       2.42779e-01
   70  7.00e-05      2.51261e-01       2.81429e-01       2.61317e-01
   71  7.10e-05      2.60752e-01       1.98138e-01       2.39881e-01
   72  7.20e-05      2.63630e-01       2.47122e-01       2.58127e-01
   73  7.30e-05      2.63869e-01       2.11908e-01       2.46549e-01
   74  7.40e-05      2.73140e-01       2.24119e-01       2.56799e-01
   75  7.50e-05      2.74749e-01       2.40097e-01       2.63198e-01
   76  7.60e-05      2.78806e-01       2.60079e-01       2.72564e-01
   77  7.70e-05      2.85041e-01       2.30003e-01       2.66695e-01
   78  7.80e-05      2.95869e-01       2.24675e-01       2.72138e-01
   79  7.90e-05      2.96571e-01       2.35915e-01       2.76352e-01
   80  8.00e-05      3.02255e-01       2.63339e-01       2.89283e-01
   81  8.10e-05      3.06371e-01       2.49100e-01       2.87280e-01
   82  8.20e-05      3.07872e-01       2.56307e-01       2.90684e-01
   83  8.30e-05      3.09270e-01       2.44891e-01       2.87810e-01
   84  8.40e-05      3.15396e-01       2.69571e-01       3.00121e-01
   85  8.50e-05      3.23116e-01       2.63832e-01       3.03355e-01
   86  8.60e-05      3.27345e-01       2.65486e-01       3.06725e-01
   87  8.70e-05      3.31735e-01       2.60113e-01       3.07861e-01
   88  8.80e-05      3.38058e-01       2.88672e-01       3.21596e-01
   89  8.90e-05      3.42801e-01       2.88984e-01       3.24862e-01
   90  9.00e-05      3.51053e-01       2.84416e-01       3.28840e-01
   91  9.10e-05      3.50798e-01       2.88573e-01       3.30056e-01
   92  9.20e-05      3.54158e-01       2.45793e-01       3.18036e-01
   93  9.30e-05      3.56264e-01       2.38790e-01       3.17106e-01
   94  9.40e-05      3.64090e-01       2.93543e-01       3.40575e-01
   95  9.50e-05      3.62467e-01       2.55518e-01       3.26818e-01
   96  9.60e-05      3.62083e-01       3.29471e-01       3.51212e-01
   97  9.70e-05      3.67419e-01       3.00220e-01       3.45020e-01
   98  9.80e-05      3.78661e-01       3.11815e-01       3.56379e-01
   99  9.90e-05      3.86029e-01       2.95892e-01       3.55984e-01
  100  1.00e-04      3.93781e-01       3.03742e-01       3.63768e-01
  101  1.01e-04      3.97585e-01       3.25436e-01       3.73535e-01
  102  1.02e-04      3.99164e-01       2.84505e-01       3.60944e-01
  103  1.03e-04      4.02005e-01       3.20436e-01       3.74816e-01
  104  1.04e-04      4.11019e-01       2.87497e-01       3.69845e-01
  105  1.05e-04      4.19869e-01       2.81456e-01       3.73732e-01
  106  1.06e-04      4.27173e-01       2.95915e-01       3.83420e-01
  107  1.07e-04      4.32802e-01       2.46366e-01       3.70657e-01
  108  1.08e-04      4.44349e-01       3.28607e-01       4.05769e-01
  109  1.09e-04      4.44668e-01       3.03649e-01       3.97661e-01
  110  1.10e-04      4.40007e-01       3.48795e-01       4.09603e-01
  111  1.11e-04      4.36801e-01       2.68836e-01       3.80813e-01
  112  1.12e-04      4.42424e-01       2.87677e-01       3.90842e-01
  113  1.13e-04      4.42772e-01       2.73052e-01       3.86199e-01
  114  1.14e-04      4.52636e-01       3.39131e-01       4.14801e-01
  115  1.15e-04      4.59942e-01       3.40985e-01       4.20290e-01
  116  1.16e-04      4.77289e-01       3.13629e-01       4.22736e-01
  117  1.17e-04      4.76678e-01       3.00005e-01       4.17787e-01
  118  1.18e-04      4.71076e-01       2.92919e-01       4.11690e-01
  119  1.19e-04      4.69985e-01       3.17683e-01       4.19218e-01
  120  1.20e-04      4.67899e-01       3.19722e-01       4.18507e-01
  121  1.21e-04      4.78737e-01       3.22882e-01       4.26786e-01
  122  1.22e-04      4.71954e-01       2.90819e-01       4.11576e-01
  123  1.23e-04      4.76089e-01       3.27105e-01       4.26428e-01
  124  1.24e-04      4.81078e-01       3.07868e-01       4.23341e-01
  125  1.25e-04      4.75326e-01       3.33225e-01       4.27959e-01
  126  1.26e-04      4.81805e-01       2.95992e-01       4.19867e-01
  127  1.27e-04      4.87007e-01       3.61558e-01       4.45190e-01
  128  1.28e-04      4.86513e-01       3.29811e-01       4.34279e-01
  129  1.29e-04      4.88623e-01       3.42308e-01       4.39851e-01
  130  1.30e-04      4.94381e-01       3.18727e-01       4.35830e-01
  131  1.31e-04      5.01595e-01       3.47210e-01       4.50133e-01
  132  1.32e-04      5.04707e-01       2.45522e-01       4.18312e-01
  133  1.33e-04      5.03460e-01       3.07034e-01       4.37985e-01
  134  1.34e-04      5.15495e-01       3.77622e-01       4.69537e-01
  135  1.35e-04      5.19003e-01       3.05275e-01       4.47760e-01
  136  1.36e-04      5.18309e-01       3.06745e-01       4.47787e-01
  137  1.37e-04      5.20881e-01       3.06819e-01       4.49527e-01
  138  1.38e-04      5.20802e-01       3.47750e-01       4.63118e-01
  139  1.39e-04      5.21114e-01       3.83434e-01       4.75221e-01
  140  1.40e-04      5.32399e-01       3.36077e-01       4.66958e-01
  141  1.41e-04      5.35846e-01       3.40506e-01       4.70732e-01
  142  1.42e-04      5.33354e-01       3.72409e-01       4.79705e-01
  143  1.43e-04      5.38863e-01       3.17002e-01       4.64909e-01
  144  1.44e-04      5.50815e-01       3.85665e-01       4.95765e-01
  145  1.45e-04      5.47918e-01       3.88569e-01       4.94801e-01
  146  1.46e-04      5.57626e-01       3.38597e-01       4.84616e-01
  147  1.47e-04      5.60667e-01       3.33816e-01       4.85050e-01
  148  1.48e-04      5.71183e-01       3.89225e-01       5.10530e-01
  149  1.49e-04      5.68692e-01       3.43612e-01       4.93665e-01
  150  1.50e-04      5.82234e-01       3.30754e-01       4.98407e-01
  151  1.51e-04      5.79016e-01       2.99800e-01       4.85944e-01
  152  1.52e-04      5.77767e-01       3.66817e-01       5.07450e-01
  153  1.53e-04      5.84053e-01       3.11211e-01       4.93105e-01
  154  1.54e-04      5.87244e-01       3.96741e-01       5.23743e-01
  155  1.55e-04      5.93031e-01       3.32543e-01       5.06202e-01
  156  1.56e-04      5.96447e-01       3.06762e-01       4.99886e-01
  157  1.57e-04      6.08388e-01       3.53896e-01       5.23557e-01
  158  1.58e-04      6.15231e-01       3.36476e-01       5.22312e-01
  159  1.59e-04      6.13757e-01       3.08661e-01       5.12059e-01
  160  1.60e-04      6.09378e-01       3.35369e-01       5.18042e-01
  161  1.61e-04      6.13548e-01       2.82592e-01       5.03229e-01
  162  1.62e-04      6.03014e-01       2.98272e-01       5.01433e-01
  163  1.63e-04      6.09487e-01       3.63322e-01       5.27432e-01
  164  1.64e-04      6.09043e-01       2.59092e-01       4.92393e-01
  165  1.65e-04      6.13260e-01       2.86981e-01       5.04501e-01
  166  1.66e-04      6.17215e-01       3.16822e-01       5.17084e-01
  167  1.67e-04      6.12131e-01       3.11909e-01       5.12057e-01
  168  1.68e-04      6.13722e-01       3.34162e-01       5.20535e-01
  169  1.69e-04      6.09197e-01       3.18425e-01       5.12273e-01
  170  1.70e-04      6.05283e-01       2.84826e-01       4.98464e-01
  171  1.71e-04      6.18552e-01       2.75471e-01       5.04192e-01
  172  1.72e-04      6.16487e-01       3.19650e-01       5.17541e-01
  173  1.73e-04      6.24564e-01       2.96384e-01       5.15171e-01
