Delta = -4.895e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      1.22267e-02       1.77984e-02       1.40839e-02
    2  2.00e-06      2.00983e-02       4.02847e-02       2.68271e-02
    3  3.00e-06      2.99288e-02       5.95027e-02       3.97867e-02
    4  4.00e-06      3.98421e-02       7.72896e-02       5.23246e-02
    5  5.00e-06      5.41336e-02       9.35054e-02       6.72575e-02
    6  6.00e-06      6.47437e-02       9.92719e-02       7.62531e-02
    7  7.00e-06      8.37049e-02       1.00333e-01       8.92475e-02
    8  8.00e-06      8.69238e-02       1.29956e-01       1.01268e-01
    9  9.00e-06      1.00436e-01       1.43394e-01       1.14755e-01
   10  1.00e-05      1.14570e-01       1.42962e-01       1.24034e-01
   11  1.10e-05      1.20533e-01       1.37573e-01       1.26213e-01
   12  1.20e-05      1.32127e-01       1.56091e-01       1.40115e-01
   13  1.30e-05      1.53607e-01       1.54756e-01       1.53990e-01
   14  1.40e-05      1.68711e-01       1.73746e-01       1.70389e-01
   15  1.50e-05      1.76556e-01       1.80496e-01       1.77869e-01
   16  1.60e-05      1.90224e-01       2.01807e-01       1.94085e-01
   17  1.70e-05      2.04130e-01       1.95287e-01       2.01183e-01
   18  1.80e-05      2.13660e-01       2.04651e-01       2.10657e-01
   19  1.90e-05      2.07319e-01       2.01614e-01       2.05417e-01
   20  2.00e-05      2.23071e-01       1.84432e-01       2.10191e-01
   21  2.10e-05      2.41426e-01       2.05624e-01       2.29492e-01
   22  2.20e-05      2.56953e-01       2.41023e-01       2.51643e-01
   23  2.30e-05      2.73919e-01       2.70714e-01       2.72851e-01
   24  2.40e-05      2.78951e-01       2.52358e-01       2.70087e-01
   25  2.50e-05      2.97393e-01       2.51057e-01       2.81947e-01
   26  2.60e-05      3.05845e-01       2.65483e-01       2.92391e-01
   27  2.70e-05      3.20453e-01       2.59235e-01       3.00047e-01
   28  2.80e-05      3.35002e-01       2.44313e-01       3.04772e-01
   29  2.90e-05      3.46079e-01       2.67508e-01       3.19889e-01
   30  3.00e-05      3.69188e-01       2.97671e-01       3.45349e-01
   31  3.10e-05      3.89092e-01       2.39545e-01       3.39243e-01
   32  3.20e-05      3.94321e-01       2.70578e-01       3.53074e-01
   33  3.30e-05      3.97001e-01       2.82055e-01       3.58686e-01
   34  3.40e-05      4.15924e-01       2.70843e-01       3.67564e-01
   35  3.50e-05      4.11628e-01       3.35282e-01       3.86179e-01
   36  3.60e-05      4.21952e-01       3.07701e-01       3.83868e-01
   37  3.70e-05      4.29757e-01       3.21912e-01       3.93808e-01
   38  3.80e-05      4.50521e-01       3.33235e-01       4.11426e-01
   39  3.90e-05      4.80162e-01       2.74917e-01       4.11747e-01
   40  4.00e-05      4.98632e-01       3.08355e-01       4.35206e-01
   41  4.10e-05      5.02902e-01       3.26408e-01       4.44070e-01
   42  4.20e-05      5.16080e-01       2.97806e-01       4.43322e-01
   43  4.30e-05      5.29445e-01       3.17970e-01       4.58954e-01
   44  4.40e-05      5.43577e-01       3.11522e-01       4.66225e-01
   45  4.50e-05      5.60543e-01       3.43520e-01       4.88202e-01
   46  4.60e-05      5.77622e-01       3.27695e-01       4.94313e-01
   47  4.70e-05      5.90610e-01       3.25385e-01       5.02202e-01
   48  4.80e-05      6.05560e-01       3.21099e-01       5.10740e-01
   49  4.90e-05      6.19447e-01       3.19363e-01       5.19419e-01
   50  5.00e-05      6.48638e-01       3.15754e-01       5.37676e-01
   51  5.10e-05      6.57500e-01       3.58251e-01       5.57750e-01
   52  5.20e-05      6.76948e-01       3.44773e-01       5.66223e-01
   53  5.30e-05      6.88155e-01       2.91148e-01       5.55819e-01
   54  5.40e-05      7.13172e-01       3.36807e-01       5.87717e-01
   55  5.50e-05      7.25316e-01       3.46829e-01       5.99154e-01
   56  5.60e-05      7.29689e-01       3.21745e-01       5.93708e-01
   57  5.70e-05      7.58562e-01       3.03501e-01       6.06875e-01
   58  5.80e-05      7.72789e-01       2.72630e-01       6.06069e-01
   59  5.90e-05      7.62207e-01       2.93303e-01       6.05905e-01
   60  6.00e-05      7.77024e-01       2.39790e-01       5.97946e-01
   61  6.10e-05      8.04234e-01       3.00417e-01       6.36295e-01
   62  6.20e-05      7.97586e-01       2.48831e-01       6.14668e-01
   63  6.30e-05      8.08988e-01       2.79142e-01       6.32373e-01
   64  6.40e-05      7.97725e-01       2.58361e-01       6.17937e-01
   65  6.50e-05      8.10354e-01       3.27858e-01       6.49522e-01
   66  6.60e-05      8.39667e-01       2.80070e-01       6.53135e-01
   67  6.70e-05      8.67110e-01       3.15430e-01       6.83216e-01
   68  6.80e-05      8.76798e-01       2.97471e-01       6.83689e-01
   69  6.90e-05      8.88448e-01       3.16052e-01       6.97650e-01
   70  7.00e-05      9.14275e-01       2.52031e-01       6.93527e-01
   71  7.10e-05      9.32895e-01       2.30403e-01       6.98731e-01
   72  7.20e-05      9.61991e-01       3.34170e-01       7.52717e-01
   73  7.30e-05      9.65756e-01       3.36141e-01       7.55885e-01
   74  7.40e-05      9.77915e-01       2.92967e-01       7.49599e-01
   75  7.50e-05      9.80610e-01       2.66863e-01       7.42695e-01
   76  7.60e-05      9.72414e-01       3.32444e-01       7.59091e-01
   77  7.70e-05      1.00151e+00       2.75019e-01       7.59347e-01
   78  7.80e-05      1.00940e+00       2.87996e-01       7.68932e-01
   79  7.90e-05      1.04675e+00       2.74008e-01       7.89172e-01
   80  8.00e-05      1.06377e+00       2.86997e-01       8.04848e-01
   81  8.10e-05      1.05912e+00       2.79318e-01       7.99188e-01
   82  8.20e-05      1.06248e+00       2.87433e-01       8.04130e-01
   83  8.30e-05      1.08448e+00       3.27723e-01       8.32230e-01
   84  8.40e-05      1.10056e+00       2.76764e-01       8.25959e-01
