Delta = -1.579e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      1.25104e-02       2.06544e-02       1.52251e-02
    2  2.00e-06      2.25553e-02       4.09740e-02       2.86948e-02
    3  3.00e-06      3.55978e-02       5.79237e-02       4.30398e-02
    4  4.00e-06      4.35215e-02       8.05194e-02       5.58541e-02
    5  5.00e-06      5.58726e-02       1.02658e-01       7.14677e-02
    6  6.00e-06      7.40416e-02       1.22129e-01       9.00706e-02
    7  7.00e-06      8.78496e-02       1.19988e-01       9.85622e-02
    8  8.00e-06      9.38604e-02       1.17474e-01       1.01732e-01
    9  9.00e-06      1.02174e-01       1.11803e-01       1.05384e-01
   10  1.00e-05      1.10859e-01       1.64764e-01       1.28828e-01
   11  1.10e-05      1.15838e-01       1.90999e-01       1.40891e-01
   12  1.20e-05      1.27264e-01       1.95102e-01       1.49877e-01
   13  1.30e-05      1.45142e-01       2.05227e-01       1.65170e-01
   14  1.40e-05      1.51624e-01       2.39126e-01       1.80791e-01
   15  1.50e-05      1.66133e-01       2.24063e-01       1.85443e-01
   16  1.60e-05      1.79418e-01       2.09069e-01       1.89301e-01
   17  1.70e-05      1.91086e-01       2.33916e-01       2.05363e-01
   18  1.80e-05      1.94053e-01       2.31979e-01       2.06695e-01
   19  1.90e-05      1.99625e-01       2.63862e-01       2.21038e-01
   20  2.00e-05      2.10451e-01       2.44394e-01       2.21765e-01
   21  2.10e-05      2.33196e-01       2.70661e-01       2.45684e-01
   22  2.20e-05      2.46449e-01       2.41138e-01       2.44679e-01
   23  2.30e-05      2.63251e-01       1.94883e-01       2.40462e-01
   24  2.40e-05      2.66471e-01       2.46974e-01       2.59972e-01
   25  2.50e-05      2.83964e-01       2.12462e-01       2.60130e-01
   26  2.60e-05      3.11612e-01       2.44765e-01       2.89330e-01
   27  2.70e-05      3.31014e-01       2.42144e-01       3.01390e-01
   28  2.80e-05      3.64035e-01       2.64480e-01       3.30850e-01
   29  2.90e-05      3.58533e-01       2.58086e-01       3.25051e-01
   30  3.00e-05      3.71009e-01       2.48669e-01       3.30229e-01
   31  3.10e-05      3.88536e-01       2.56863e-01       3.44645e-01
