Delta = -6.724e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      6.56601e+00       0.00000e+00       4.37734e+00
    1  2.00e-06      6.44024e+00       7.99096e-04       4.29376e+00
    2  4.00e-06      6.42141e+00       1.28587e-03       4.28137e+00
    3  6.00e-06      6.46124e+00       2.04706e-03       4.30818e+00
    4  8.00e-06      6.49112e+00       3.62285e-03       4.32862e+00
    5  1.00e-05      6.48786e+00       4.04339e-03       4.32659e+00
    6  1.20e-05      6.44566e+00       4.66261e-03       4.29866e+00
    7  1.40e-05      6.43769e+00       5.57675e-03       4.29365e+00
    8  1.60e-05      6.48090e+00       6.80320e-03       4.32287e+00
    9  1.80e-05      6.42942e+00       7.03379e-03       4.28863e+00
   10  2.00e-05      6.38257e+00       8.34956e-03       4.25783e+00
   11  2.20e-05      6.44040e+00       8.86676e-03       4.29656e+00
   12  2.40e-05      6.41881e+00       1.02661e-02       4.28263e+00
   13  2.60e-05      6.40069e+00       1.12456e-02       4.27088e+00
   14  2.80e-05      6.41438e+00       1.15057e-02       4.28009e+00
   15  3.00e-05      6.41795e+00       1.07851e-02       4.28223e+00
   16  3.20e-05      6.39961e+00       1.58275e-02       4.27168e+00
   17  3.40e-05      6.44647e+00       1.31538e-02       4.30203e+00
   18  3.60e-05      6.41979e+00       1.35402e-02       4.28437e+00
   19  3.80e-05      6.42710e+00       1.40706e-02       4.28942e+00
   20  4.00e-05      6.48091e+00       1.68520e-02       4.32623e+00
   21  4.20e-05      6.47103e+00       1.72612e-02       4.31978e+00
   22  4.40e-05      6.48842e+00       1.35699e-02       4.33014e+00
   23  4.60e-05      6.51317e+00       1.69350e-02       4.34776e+00
   24  4.80e-05      6.46811e+00       2.01967e-02       4.31881e+00
   25  5.00e-05      6.44939e+00       2.03109e-02       4.30636e+00
   26  5.20e-05      6.45608e+00       1.90636e-02       4.31041e+00
   27  5.40e-05      6.49194e+00       1.91301e-02       4.33434e+00
   28  5.60e-05      6.46797e+00       1.84096e-02       4.31811e+00
   29  5.80e-05      6.45563e+00       2.39822e-02       4.31174e+00
   30  6.00e-05      6.46047e+00       2.66703e-02       4.31587e+00
   31  6.20e-05      6.47719e+00       2.07556e-02       4.32505e+00
   32  6.40e-05      6.46347e+00       2.40135e-02       4.31698e+00
   33  6.60e-05      6.42767e+00       2.96841e-02       4.29501e+00
   34  6.80e-05      6.45803e+00       2.71446e-02       4.31440e+00
   35  7.00e-05      6.43329e+00       2.36751e-02       4.29675e+00
   36  7.20e-05      6.38920e+00       2.79851e-02       4.26880e+00
   37  7.40e-05      6.38635e+00       2.69361e-02       4.26655e+00
   38  7.60e-05      6.37882e+00       2.66364e-02       4.26143e+00
   39  7.80e-05      6.35531e+00       3.03448e-02       4.24699e+00
   40  8.00e-05      6.38086e+00       2.69216e-02       4.26288e+00
   41  8.20e-05      6.33169e+00       2.74614e-02       4.23028e+00
   42  8.40e-05      6.34039e+00       3.44747e-02       4.23842e+00
   43  8.60e-05      6.30858e+00       3.08120e-02       4.21599e+00
   44  8.80e-05      6.33311e+00       2.90030e-02       4.23174e+00
   45  9.00e-05      6.34060e+00       3.40637e-02       4.23842e+00
   46  9.20e-05      6.36629e+00       3.28919e-02       4.25516e+00
   47  9.40e-05      6.34568e+00       3.78258e-02       4.24306e+00
   48  9.60e-05      6.36101e+00       2.73874e-02       4.24980e+00
   49  9.80e-05      6.34417e+00       4.07691e-02       4.24304e+00
   50  1.00e-04      6.36854e+00       3.40503e-02       4.25705e+00
   51  1.02e-04      6.36383e+00       3.71565e-02       4.25494e+00
   52  1.04e-04      6.35474e+00       4.43338e-02       4.25127e+00
   53  1.06e-04      6.33625e+00       4.20108e-02       4.23817e+00
   54  1.08e-04      6.30744e+00       4.21023e-02       4.21899e+00
   55  1.10e-04      6.31583e+00       4.45474e-02       4.22540e+00
   56  1.12e-04      6.34149e+00       5.14475e-02       4.24481e+00
   57  1.14e-04      6.33235e+00       5.30153e-02       4.23924e+00
   58  1.16e-04      6.30113e+00       4.87383e-02       4.21700e+00
   59  1.18e-04      6.31100e+00       5.10809e-02       4.22436e+00
   60  1.20e-04      6.30723e+00       5.00164e-02       4.22149e+00
   61  1.22e-04      6.31619e+00       5.58062e-02       4.22939e+00
   62  1.24e-04      6.33578e+00       5.73614e-02       4.24298e+00
   63  1.26e-04      6.34661e+00       4.95939e-02       4.24761e+00
   64  1.28e-04      6.34691e+00       4.72386e-02       4.24702e+00
   65  1.30e-04      6.34684e+00       5.80155e-02       4.25057e+00
   66  1.32e-04      6.34009e+00       4.59339e-02       4.24204e+00
   67  1.34e-04      6.37440e+00       5.47725e-02       4.26786e+00
   68  1.36e-04      6.38670e+00       4.82749e-02       4.27389e+00
   69  1.38e-04      6.36716e+00       5.35950e-02       4.26264e+00
   70  1.40e-04      6.34427e+00       4.82703e-02       4.24560e+00
   71  1.42e-04      6.37405e+00       6.33992e-02       4.27050e+00
   72  1.44e-04      6.36607e+00       5.02263e-02       4.26079e+00
