Delta = 8.947e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-05      3.19126e-02       4.67297e-02       3.68516e-02
    2  2.00e-05      6.39905e-02       7.08700e-02       6.62837e-02
    3  3.00e-05      1.04354e-01       1.26022e-01       1.11576e-01
    4  4.00e-05      1.31843e-01       1.45316e-01       1.36334e-01
    5  5.00e-05      1.72709e-01       1.51623e-01       1.65680e-01
    6  6.00e-05      2.11601e-01       1.61579e-01       1.94927e-01
    7  7.00e-05      2.47191e-01       1.84388e-01       2.26257e-01
    8  8.00e-05      2.71567e-01       2.05411e-01       2.49515e-01
    9  9.00e-05      3.02191e-01       2.13292e-01       2.72558e-01
   10  1.00e-04      3.43491e-01       2.37385e-01       3.08122e-01
   11  1.10e-04      3.86559e-01       2.50891e-01       3.41337e-01
   12  1.20e-04      4.13083e-01       2.67352e-01       3.64506e-01
   13  1.30e-04      4.40508e-01       2.93146e-01       3.91387e-01
   14  1.40e-04      4.53738e-01       2.77314e-01       3.94930e-01
   15  1.50e-04      5.02267e-01       2.72834e-01       4.25789e-01
   16  1.60e-04      5.03473e-01       3.14507e-01       4.40485e-01
   17  1.70e-04      5.25422e-01       2.78204e-01       4.43016e-01
   18  1.80e-04      5.67603e-01       3.10822e-01       4.82009e-01
   19  1.90e-04      5.91202e-01       3.24419e-01       5.02274e-01
   20  2.00e-04      6.19876e-01       3.23898e-01       5.21217e-01
   21  2.10e-04      6.72815e-01       2.97723e-01       5.47784e-01
   22  2.20e-04      7.22656e-01       2.65117e-01       5.70143e-01
   23  2.30e-04      7.48456e-01       3.09332e-01       6.02082e-01
   24  2.40e-04      7.86851e-01       3.19742e-01       6.31148e-01
   25  2.50e-04      8.59952e-01       2.88297e-01       6.69400e-01
   26  2.60e-04      8.79402e-01       3.48979e-01       7.02594e-01
   27  2.70e-04      9.07355e-01       2.69045e-01       6.94585e-01
   28  2.80e-04      9.03903e-01       2.41474e-01       6.83094e-01
   29  2.90e-04      9.48674e-01       3.38462e-01       7.45270e-01
   30  3.00e-04      9.56729e-01       2.97421e-01       7.36960e-01
   31  3.10e-04      9.81121e-01       3.02028e-01       7.54757e-01
   32  3.20e-04      9.95332e-01       2.85026e-01       7.58563e-01
   33  3.30e-04      1.01641e+00       3.13219e-01       7.82012e-01
   34  3.40e-04      1.04451e+00       2.92354e-01       7.93792e-01
   35  3.50e-04      1.09829e+00       3.18055e-01       8.38214e-01
   36  3.60e-04      1.10961e+00       2.90318e-01       8.36512e-01
   37  3.70e-04      1.15904e+00       2.63271e-01       8.60448e-01
   38  3.80e-04      1.16767e+00       3.03106e-01       8.79484e-01
   39  3.90e-04      1.21246e+00       3.47677e-01       9.24202e-01
   40  4.00e-04      1.23352e+00       3.30726e-01       9.32586e-01
   41  4.10e-04      1.27714e+00       3.21604e-01       9.58628e-01
   42  4.20e-04      1.33345e+00       3.26706e-01       9.97868e-01
   43  4.30e-04      1.38410e+00       2.28845e-01       9.99016e-01
   44  4.40e-04      1.41963e+00       3.17655e-01       1.05231e+00
   45  4.50e-04      1.53356e+00       2.87130e-01       1.11808e+00
   46  4.60e-04      1.63300e+00       3.59276e-01       1.20842e+00
   47  4.70e-04      1.70690e+00       3.24535e-01       1.24611e+00
   48  4.80e-04      1.70420e+00       2.67813e-01       1.22540e+00
   49  4.90e-04      1.73672e+00       3.48532e-01       1.27399e+00
   50  5.00e-04      1.80128e+00       3.21557e-01       1.30804e+00
   51  5.10e-04      1.82098e+00       3.21508e-01       1.32115e+00
   52  5.20e-04      1.80832e+00       3.42013e-01       1.31955e+00
   53  5.30e-04      1.83944e+00       3.00627e-01       1.32650e+00
   54  5.40e-04      1.86875e+00       3.17009e-01       1.35150e+00
   55  5.50e-04      1.87332e+00       3.20633e-01       1.35576e+00
   56  5.60e-04      1.87523e+00       2.50622e-01       1.33370e+00
   57  5.70e-04      1.93028e+00       2.49510e-01       1.37003e+00
   58  5.80e-04      2.01431e+00       2.63589e-01       1.43073e+00
   59  5.90e-04      2.05382e+00       3.09658e-01       1.47243e+00
   60  6.00e-04      2.10132e+00       2.88224e-01       1.49695e+00
   61  6.10e-04      2.07430e+00       3.26450e-01       1.49169e+00
   62  6.20e-04      2.07046e+00       2.62745e-01       1.46789e+00
   63  6.30e-04      2.06305e+00       3.46214e-01       1.49077e+00
   64  6.40e-04      2.07601e+00       3.05629e-01       1.48589e+00
   65  6.50e-04      2.16568e+00       2.91473e-01       1.54095e+00
   66  6.60e-04      2.15740e+00       2.84270e-01       1.53302e+00
   67  6.70e-04      2.19944e+00       3.16121e-01       1.57167e+00
   68  6.80e-04      2.18953e+00       3.15769e-01       1.56494e+00
   69  6.90e-04      2.20382e+00       2.95415e-01       1.56768e+00
   70  7.00e-04      2.23992e+00       3.47460e-01       1.60910e+00
   71  7.10e-04      2.21477e+00       3.09896e-01       1.57981e+00
