Delta = 0.000e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      5.86683e+00       0.00000e+00       3.91122e+00
    1  2.00e-06      5.73074e+00       1.78849e-03       3.82109e+00
    2  4.00e-06      5.72514e+00       3.83262e-03       3.81804e+00
    3  6.00e-06      5.76867e+00       5.88530e-03       3.84774e+00
    4  8.00e-06      5.80500e+00       8.02365e-03       3.87267e+00
    5  1.00e-05      5.82149e+00       9.44399e-03       3.88414e+00
    6  1.20e-05      5.89414e+00       1.03484e-02       3.93287e+00
    7  1.40e-05      5.89040e+00       1.39932e-02       3.93160e+00
    8  1.60e-05      5.86118e+00       1.85044e-02       3.91362e+00
    9  1.80e-05      5.92260e+00       1.28470e-02       3.95268e+00
   10  2.00e-05      5.94916e+00       2.16001e-02       3.97331e+00
   11  2.20e-05      5.95019e+00       2.21612e-02       3.97418e+00
   12  2.40e-05      5.98015e+00       2.79753e-02       3.99609e+00
   13  2.60e-05      6.02313e+00       2.73010e-02       4.02452e+00
   14  2.80e-05      6.03661e+00       2.91707e-02       4.03413e+00
   15  3.00e-05      6.10941e+00       3.51051e-02       4.08464e+00
   16  3.20e-05      6.14747e+00       3.13549e-02       4.10877e+00
   17  3.40e-05      6.15315e+00       3.64807e-02       4.11426e+00
   18  3.60e-05      6.21627e+00       3.81908e-02       4.15691e+00
   19  3.80e-05      6.20790e+00       4.59780e-02       4.15392e+00
   20  4.00e-05      6.19613e+00       5.05005e-02       4.14758e+00
   21  4.20e-05      6.23740e+00       4.27083e-02       4.17250e+00
   22  4.40e-05      6.24768e+00       4.14058e-02       4.17892e+00
   23  4.60e-05      6.32371e+00       5.65004e-02       4.23464e+00
   24  4.80e-05      6.39829e+00       4.82120e-02       4.28160e+00
   25  5.00e-05      6.38237e+00       4.73245e-02       4.27069e+00
   26  5.20e-05      6.37801e+00       5.14455e-02       4.26915e+00
   27  5.40e-05      6.38751e+00       6.17042e-02       4.27890e+00
   28  5.60e-05      6.42409e+00       4.89480e-02       4.29904e+00
   29  5.80e-05      6.49147e+00       5.95151e-02       4.34749e+00
   30  6.00e-05      6.52291e+00       5.55635e-02       4.36713e+00
   31  6.20e-05      6.50479e+00       6.11621e-02       4.35691e+00
   32  6.40e-05      6.49256e+00       6.57510e-02       4.35029e+00
   33  6.60e-05      6.46579e+00       8.56655e-02       4.33908e+00
   34  6.80e-05      6.55935e+00       7.03860e-02       4.39636e+00
   35  7.00e-05      6.57045e+00       7.90569e-02       4.40665e+00
   36  7.20e-05      6.52426e+00       7.78438e-02       4.37545e+00
   37  7.40e-05      6.58350e+00       9.73477e-02       4.42145e+00
   38  7.60e-05      6.66284e+00       7.42874e-02       4.46666e+00
   39  7.80e-05      6.64537e+00       9.37035e-02       4.46148e+00
   40  8.00e-05      6.63609e+00       9.38188e-02       4.45533e+00
   41  8.20e-05      6.64210e+00       8.54204e-02       4.45654e+00
   42  8.40e-05      6.59874e+00       9.31545e-02       4.43021e+00
   43  8.60e-05      6.59183e+00       9.02680e-02       4.42464e+00
   44  8.80e-05      6.58761e+00       1.07082e-01       4.42744e+00
   45  9.00e-05      6.58053e+00       9.97127e-02       4.42026e+00
   46  9.20e-05      6.62142e+00       1.02931e-01       4.44859e+00
   47  9.40e-05      6.57623e+00       1.19037e-01       4.42383e+00
   48  9.60e-05      6.58281e+00       8.62995e-02       4.41730e+00
   49  9.80e-05      6.50589e+00       1.08322e-01       4.37337e+00
   50  1.00e-04      6.59718e+00       1.02452e-01       4.43227e+00
   51  1.02e-04      6.58975e+00       9.65153e-02       4.42534e+00
   52  1.04e-04      6.62164e+00       1.31394e-01       4.45823e+00
   53  1.06e-04      6.59080e+00       1.08448e-01       4.43002e+00
   54  1.08e-04      6.58789e+00       1.30438e-01       4.43541e+00
   55  1.10e-04      6.56127e+00       9.78195e-02       4.40678e+00
   56  1.12e-04      6.55862e+00       1.46581e-01       4.42127e+00
   57  1.14e-04      6.57724e+00       1.10280e-01       4.42159e+00
   58  1.16e-04      6.60157e+00       1.26992e-01       4.44338e+00
   59  1.18e-04      6.64985e+00       1.14058e-01       4.47125e+00
   60  1.20e-04      6.65616e+00       1.28933e-01       4.48042e+00
   61  1.22e-04      6.65713e+00       9.45786e-02       4.46962e+00
   62  1.24e-04      6.65846e+00       1.36102e-01       4.48434e+00
   63  1.26e-04      6.67000e+00       1.37592e-01       4.49253e+00
   64  1.28e-04      6.71014e+00       1.27867e-01       4.51605e+00
   65  1.30e-04      6.67817e+00       1.51720e-01       4.50269e+00
   66  1.32e-04      6.76599e+00       1.58999e-01       4.56366e+00
   67  1.34e-04      6.74512e+00       1.26023e-01       4.53875e+00
   68  1.36e-04      6.69562e+00       1.29162e-01       4.50680e+00
   69  1.38e-04      6.65422e+00       1.55320e-01       4.48792e+00
   70  1.40e-04      6.69839e+00       1.31241e-01       4.50934e+00
   71  1.42e-04      6.72246e+00       1.24461e-01       4.52313e+00
   72  1.44e-04      6.74129e+00       1.65921e-01       4.54950e+00
   73  1.46e-04      6.76489e+00       1.37188e-01       4.55566e+00
   74  1.48e-04      6.76364e+00       1.29797e-01       4.55236e+00
   75  1.50e-04      6.80408e+00       1.52383e-01       4.58684e+00
   76  1.52e-04      6.77380e+00       1.44898e-01       4.56417e+00
   77  1.54e-04      6.72867e+00       1.69838e-01       4.54239e+00
   78  1.56e-04      6.71819e+00       1.29184e-01       4.52186e+00
   79  1.58e-04      6.65147e+00       1.69582e-01       4.49084e+00
   80  1.60e-04      6.64371e+00       1.32142e-01       4.47319e+00
   81  1.62e-04      6.64423e+00       1.57209e-01       4.48189e+00
   82  1.64e-04      6.63129e+00       1.62518e-01       4.47503e+00
   83  1.66e-04      6.58786e+00       1.69129e-01       4.44828e+00
   84  1.68e-04      6.58072e+00       1.52414e-01       4.43795e+00
   85  1.70e-04      6.59179e+00       2.03351e-01       4.46231e+00
   86  1.72e-04      6.59087e+00       1.86869e-01       4.45620e+00
   87  1.74e-04      6.64101e+00       1.59119e-01       4.48038e+00
   88  1.76e-04      6.60545e+00       1.72353e-01       4.46109e+00
   89  1.78e-04      6.58900e+00       1.93022e-01       4.45701e+00
   90  1.80e-04      6.54138e+00       1.80279e-01       4.42101e+00
   91  1.82e-04      6.58769e+00       1.70261e-01       4.44854e+00
   92  1.84e-04      6.58220e+00       1.99809e-01       4.45473e+00
   93  1.86e-04      6.57459e+00       1.57431e-01       4.43554e+00
   94  1.88e-04      6.57417e+00       2.12926e-01       4.45375e+00
   95  1.90e-04      6.58907e+00       1.75393e-01       4.45118e+00
   96  1.92e-04      6.52146e+00       2.15851e-01       4.41959e+00
   97  1.94e-04      6.53276e+00       1.88432e-01       4.41798e+00
   98  1.96e-04      6.54875e+00       2.51527e-01       4.44967e+00
   99  1.98e-04      6.55994e+00       2.00071e-01       4.43998e+00
  100  2.00e-04      6.58144e+00       2.17316e-01       4.46007e+00
  101  2.02e-04      6.64496e+00       2.03461e-01       4.49779e+00
  102  2.04e-04      6.59567e+00       2.28536e-01       4.47329e+00
  103  2.06e-04      6.63495e+00       1.87146e-01       4.48568e+00
  104  2.08e-04      6.60746e+00       2.48735e-01       4.48789e+00
  105  2.10e-04      6.60890e+00       2.17874e-01       4.47856e+00
  106  2.12e-04      6.56933e+00       2.54374e-01       4.46435e+00
  107  2.14e-04      6.60730e+00       2.11938e-01       4.47551e+00
  108  2.16e-04      6.64084e+00       2.65605e-01       4.51576e+00
  109  2.18e-04      6.60542e+00       2.30833e-01       4.48055e+00
  110  2.20e-04      6.61717e+00       2.32415e-01       4.48892e+00
  111  2.22e-04      6.61932e+00       2.62418e-01       4.50035e+00
  112  2.24e-04      6.65379e+00       2.12519e-01       4.50670e+00
  113  2.26e-04      6.63243e+00       2.42296e-01       4.50238e+00
  114  2.28e-04      6.66838e+00       2.41780e-01       4.52618e+00
  115  2.30e-04      6.62829e+00       2.48694e-01       4.50176e+00
  116  2.32e-04      6.59476e+00       2.41079e-01       4.47687e+00
  117  2.34e-04      6.58789e+00       2.69712e-01       4.48183e+00
  118  2.36e-04      6.58586e+00       2.89777e-01       4.48717e+00
  119  2.38e-04      6.60337e+00       2.30196e-01       4.47898e+00
  120  2.40e-04      6.66551e+00       2.49594e-01       4.52687e+00
  121  2.42e-04      6.65528e+00       2.51312e-01       4.52062e+00
  122  2.44e-04      6.73157e+00       2.39567e-01       4.56757e+00
  123  2.46e-04      6.73516e+00       2.28554e-01       4.56629e+00
  124  2.48e-04      6.74177e+00       2.03402e-01       4.56232e+00
