Delta = -4.263e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      1.07797e-02       2.28018e-02       1.47871e-02
    2  2.00e-06      2.52646e-02       3.21285e-02       2.75526e-02
    3  3.00e-06      3.93898e-02       5.46383e-02       4.44726e-02
    4  4.00e-06      5.11506e-02       6.81316e-02       5.68109e-02
    5  5.00e-06      6.51751e-02       7.65315e-02       6.89606e-02
    6  6.00e-06      7.36300e-02       1.01849e-01       8.30365e-02
    7  7.00e-06      8.56104e-02       1.14322e-01       9.51807e-02
    8  8.00e-06      9.28535e-02       1.26548e-01       1.04085e-01
    9  9.00e-06      1.04010e-01       1.35589e-01       1.14536e-01
   10  1.00e-05      1.21813e-01       1.48215e-01       1.30613e-01
   11  1.10e-05      1.34234e-01       1.76001e-01       1.48157e-01
   12  1.20e-05      1.49894e-01       1.78005e-01       1.59264e-01
   13  1.30e-05      1.60795e-01       2.16390e-01       1.79327e-01
   14  1.40e-05      1.69583e-01       1.94357e-01       1.77841e-01
   15  1.50e-05      1.80891e-01       2.02796e-01       1.88192e-01
   16  1.60e-05      1.83193e-01       2.54251e-01       2.06879e-01
   17  1.70e-05      1.94739e-01       2.42586e-01       2.10688e-01
   18  1.80e-05      2.15120e-01       2.45070e-01       2.25103e-01
   19  1.90e-05      2.23286e-01       2.83815e-01       2.43463e-01
   20  2.00e-05      2.36934e-01       2.93421e-01       2.55763e-01
   21  2.10e-05      2.49580e-01       2.47529e-01       2.48896e-01
   22  2.20e-05      2.58281e-01       3.09614e-01       2.75392e-01
   23  2.30e-05      2.63085e-01       2.69265e-01       2.65145e-01
   24  2.40e-05      2.73185e-01       2.61674e-01       2.69348e-01
   25  2.50e-05      2.94893e-01       2.73416e-01       2.87734e-01
   26  2.60e-05      3.22952e-01       2.36855e-01       2.94253e-01
   27  2.70e-05      3.40631e-01       2.65973e-01       3.15745e-01
   28  2.80e-05      3.49842e-01       2.23105e-01       3.07596e-01
   29  2.90e-05      3.68565e-01       3.26524e-01       3.54552e-01
   30  3.00e-05      3.86908e-01       2.18289e-01       3.30702e-01
   31  3.10e-05      4.06186e-01       2.50739e-01       3.54370e-01
   32  3.20e-05      4.03402e-01       2.35615e-01       3.47473e-01
   33  3.30e-05      4.35853e-01       2.60323e-01       3.77343e-01
   34  3.40e-05      4.60986e-01       2.63885e-01       3.95286e-01
   35  3.50e-05      4.60276e-01       2.74427e-01       3.98326e-01
   36  3.60e-05      4.75413e-01       2.55342e-01       4.02056e-01
   37  3.70e-05      4.94496e-01       3.17019e-01       4.35337e-01
   38  3.80e-05      5.04630e-01       2.77048e-01       4.28770e-01
   39  3.90e-05      5.15108e-01       3.22828e-01       4.51015e-01
   40  4.00e-05      5.33597e-01       2.64113e-01       4.43769e-01
   41  4.10e-05      5.68491e-01       2.80123e-01       4.72368e-01
   42  4.20e-05      5.83223e-01       2.59949e-01       4.75465e-01
   43  4.30e-05      6.01711e-01       3.19646e-01       5.07689e-01
   44  4.40e-05      6.41620e-01       3.34646e-01       5.39296e-01
   45  4.50e-05      6.50267e-01       3.27776e-01       5.42770e-01
   46  4.60e-05      6.68572e-01       2.90252e-01       5.42466e-01
   47  4.70e-05      7.03298e-01       3.53172e-01       5.86589e-01
   48  4.80e-05      7.12497e-01       3.11431e-01       5.78808e-01
   49  4.90e-05      7.10259e-01       2.91093e-01       5.70537e-01
   50  5.00e-05      7.31957e-01       3.10647e-01       5.91521e-01
   51  5.10e-05      7.24478e-01       3.16894e-01       5.88617e-01
   52  5.20e-05      7.17268e-01       3.22758e-01       5.85765e-01
   53  5.30e-05      7.33411e-01       3.12283e-01       5.93035e-01
   54  5.40e-05      7.64717e-01       3.64863e-01       6.31432e-01
   55  5.50e-05      7.61262e-01       3.07558e-01       6.10028e-01
   56  5.60e-05      7.86540e-01       3.67670e-01       6.46916e-01
   57  5.70e-05      8.16701e-01       3.29738e-01       6.54380e-01
   58  5.80e-05      8.36285e-01       3.69333e-01       6.80635e-01
   59  5.90e-05      8.46839e-01       3.40440e-01       6.78040e-01
   60  6.00e-05      8.64002e-01       3.19103e-01       6.82369e-01
   61  6.10e-05      8.58416e-01       3.67018e-01       6.94617e-01
   62  6.20e-05      8.93256e-01       3.64156e-01       7.16889e-01
   63  6.30e-05      8.99774e-01       3.60415e-01       7.19987e-01
   64  6.40e-05      8.92697e-01       3.82698e-01       7.22697e-01
   65  6.50e-05      9.06958e-01       4.21439e-01       7.45118e-01
   66  6.60e-05      9.36875e-01       3.81283e-01       7.51677e-01
   67  6.70e-05      9.49290e-01       3.76860e-01       7.58480e-01
   68  6.80e-05      9.42407e-01       3.62081e-01       7.48965e-01
   69  6.90e-05      9.27639e-01       4.06272e-01       7.53850e-01
   70  7.00e-05      9.38263e-01       3.62569e-01       7.46365e-01
   71  7.10e-05      9.45922e-01       3.73534e-01       7.55126e-01
   72  7.20e-05      9.61784e-01       3.53587e-01       7.59052e-01
   73  7.30e-05      1.00472e+00       3.32096e-01       7.80514e-01
   74  7.40e-05      1.01068e+00       3.59025e-01       7.93464e-01
   75  7.50e-05      1.01106e+00       3.35407e-01       7.85839e-01
   76  7.60e-05      1.04092e+00       3.37289e-01       8.06379e-01
   77  7.70e-05      1.06053e+00       3.35626e-01       8.18894e-01
   78  7.80e-05      1.07435e+00       2.96166e-01       8.14956e-01
   79  7.90e-05      1.07847e+00       2.88030e-01       8.14989e-01
   80  8.00e-05      1.10975e+00       3.38999e-01       8.52831e-01
   81  8.10e-05      1.16077e+00       3.04401e-01       8.75314e-01
   82  8.20e-05      1.15688e+00       2.81876e-01       8.65212e-01
   83  8.30e-05      1.17055e+00       3.11846e-01       8.84318e-01
   84  8.40e-05      1.19121e+00       3.40543e-01       9.07651e-01
