Delta = -4.474e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      1.09169e-02       2.34613e-02       1.50984e-02
    2  2.00e-06      2.31643e-02       5.40288e-02       3.34525e-02
    3  3.00e-06      3.39815e-02       6.23656e-02       4.34429e-02
    4  4.00e-06      5.03251e-02       9.08939e-02       6.38480e-02
    5  5.00e-06      6.97990e-02       1.07255e-01       8.22844e-02
    6  6.00e-06      8.29940e-02       9.77658e-02       8.79179e-02
    7  7.00e-06      8.88051e-02       1.04282e-01       9.39640e-02
    8  8.00e-06      9.89521e-02       1.03113e-01       1.00339e-01
    9  9.00e-06      1.13694e-01       1.16572e-01       1.14653e-01
   10  1.00e-05      1.22011e-01       1.24199e-01       1.22740e-01
   11  1.10e-05      1.37053e-01       1.67990e-01       1.47365e-01
   12  1.20e-05      1.54172e-01       1.87618e-01       1.65320e-01
   13  1.30e-05      1.60846e-01       1.93175e-01       1.71622e-01
   14  1.40e-05      1.67991e-01       1.50264e-01       1.62082e-01
   15  1.50e-05      1.79266e-01       1.91863e-01       1.83465e-01
   16  1.60e-05      1.91058e-01       2.09536e-01       1.97217e-01
   17  1.70e-05      2.04744e-01       1.70053e-01       1.93181e-01
   18  1.80e-05      2.17137e-01       1.98331e-01       2.10868e-01
   19  1.90e-05      2.23016e-01       1.82512e-01       2.09515e-01
   20  2.00e-05      2.44287e-01       2.34852e-01       2.41142e-01
   21  2.10e-05      2.57110e-01       2.51495e-01       2.55238e-01
   22  2.20e-05      2.62773e-01       2.63884e-01       2.63143e-01
   23  2.30e-05      2.87400e-01       2.83210e-01       2.86003e-01
   24  2.40e-05      2.99213e-01       3.03252e-01       3.00560e-01
   25  2.50e-05      3.07576e-01       3.00620e-01       3.05257e-01
   26  2.60e-05      3.26323e-01       2.71293e-01       3.07979e-01
   27  2.70e-05      3.47006e-01       2.70763e-01       3.21592e-01
   28  2.80e-05      3.47736e-01       2.44153e-01       3.13208e-01
   29  2.90e-05      3.44393e-01       2.55761e-01       3.14849e-01
   30  3.00e-05      3.47495e-01       2.67590e-01       3.20860e-01
   31  3.10e-05      3.55255e-01       2.55776e-01       3.22095e-01
   32  3.20e-05      3.76438e-01       3.01559e-01       3.51478e-01
   33  3.30e-05      3.98199e-01       3.22048e-01       3.72815e-01
   34  3.40e-05      4.06566e-01       2.60431e-01       3.57854e-01
   35  3.50e-05      4.10491e-01       2.68001e-01       3.62994e-01
   36  3.60e-05      4.16904e-01       2.35887e-01       3.56565e-01
   37  3.70e-05      4.31092e-01       2.49898e-01       3.70694e-01
   38  3.80e-05      4.54232e-01       2.57898e-01       3.88787e-01
   39  3.90e-05      4.81764e-01       2.57536e-01       4.07021e-01
   40  4.00e-05      4.99764e-01       2.95731e-01       4.31753e-01
   41  4.10e-05      4.96159e-01       2.89531e-01       4.27283e-01
