Delta = -6.316e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      4.67733e+00       0.00000e+00       3.11822e+00
    1  2.00e-06      4.59871e+00       1.53414e-03       3.06632e+00
    2  4.00e-06      4.58557e+00       2.64128e-03       3.05793e+00
    3  6.00e-06      4.63551e+00       2.73861e-03       3.09125e+00
    4  8.00e-06      4.62893e+00       4.31157e-03       3.08739e+00
    5  1.00e-05      4.58938e+00       4.33959e-03       3.06103e+00
    6  1.20e-05      4.60663e+00       5.60927e-03       3.07296e+00
    7  1.40e-05      4.58095e+00       6.62644e-03       3.05618e+00
    8  1.60e-05      4.57075e+00       8.85703e-03       3.05012e+00
    9  1.80e-05      4.53936e+00       9.17528e-03       3.02930e+00
   10  2.00e-05      4.53927e+00       1.05197e-02       3.02968e+00
   11  2.20e-05      4.53369e+00       9.28790e-03       3.02556e+00
   12  2.40e-05      4.49324e+00       1.03096e-02       2.99893e+00
   13  2.60e-05      4.48414e+00       9.76440e-03       2.99268e+00
   14  2.80e-05      4.50286e+00       1.17200e-02       3.00581e+00
   15  3.00e-05      4.51223e+00       1.22989e-02       3.01226e+00
   16  3.20e-05      4.50019e+00       1.14016e-02       3.00392e+00
   17  3.40e-05      4.49520e+00       1.33056e-02       3.00123e+00
   18  3.60e-05      4.45668e+00       1.66730e-02       2.97668e+00
   19  3.80e-05      4.43704e+00       1.78915e-02       2.96399e+00
   20  4.00e-05      4.41456e+00       1.37766e-02       2.94763e+00
   21  4.20e-05      4.41093e+00       1.67075e-02       2.94619e+00
   22  4.40e-05      4.43765e+00       1.84648e-02       2.96459e+00
   23  4.60e-05      4.38758e+00       1.56527e-02       2.93027e+00
   24  4.80e-05      4.40747e+00       1.79997e-02       2.94431e+00
   25  5.00e-05      4.39852e+00       1.54668e-02       2.93750e+00
   26  5.20e-05      4.38914e+00       1.80113e-02       2.93210e+00
   27  5.40e-05      4.40190e+00       2.39773e-02       2.94259e+00
   28  5.60e-05      4.40792e+00       2.16793e-02       2.94584e+00
   29  5.80e-05      4.37951e+00       1.85488e-02       2.92586e+00
   30  6.00e-05      4.39658e+00       2.21552e-02       2.93844e+00
   31  6.20e-05      4.40543e+00       1.92015e-02       2.94335e+00
   32  6.40e-05      4.41099e+00       2.29230e-02       2.94830e+00
   33  6.60e-05      4.41455e+00       2.13320e-02       2.95014e+00
   34  6.80e-05      4.41686e+00       2.55306e-02       2.95308e+00
   35  7.00e-05      4.42467e+00       2.45297e-02       2.95796e+00
   36  7.20e-05      4.41654e+00       2.53534e-02       2.95281e+00
   37  7.40e-05      4.40299e+00       2.83922e-02       2.94479e+00
   38  7.60e-05      4.39454e+00       2.90348e-02       2.93937e+00
   39  7.80e-05      4.38936e+00       3.07069e-02       2.93647e+00
   40  8.00e-05      4.38806e+00       2.87042e-02       2.93494e+00
   41  8.20e-05      4.36742e+00       3.36146e-02       2.92282e+00
   42  8.40e-05      4.37822e+00       3.20946e-02       2.92951e+00
   43  8.60e-05      4.35375e+00       3.47054e-02       2.91407e+00
   44  8.80e-05      4.38947e+00       2.93817e-02       2.93611e+00
   45  9.00e-05      4.40016e+00       3.98679e-02       2.94673e+00
   46  9.20e-05      4.42860e+00       3.59801e-02       2.96439e+00
   47  9.40e-05      4.41447e+00       3.87767e-02       2.95590e+00
   48  9.60e-05      4.41157e+00       4.00499e-02       2.95440e+00
   49  9.80e-05      4.42117e+00       3.86863e-02       2.96034e+00
   50  1.00e-04      4.40600e+00       4.37393e-02       2.95191e+00
   51  1.02e-04      4.41527e+00       4.48909e-02       2.95848e+00
   52  1.04e-04      4.41175e+00       3.89197e-02       2.95414e+00
   53  1.06e-04      4.43433e+00       4.74218e-02       2.97203e+00
   54  1.08e-04      4.44574e+00       5.26887e-02       2.98139e+00
   55  1.10e-04      4.44302e+00       4.56675e-02       2.97723e+00
   56  1.12e-04      4.40931e+00       5.02853e-02       2.95630e+00
   57  1.14e-04      4.40377e+00       4.56154e-02       2.95105e+00
   58  1.16e-04      4.39898e+00       5.18513e-02       2.94994e+00
   59  1.18e-04      4.39923e+00       5.37727e-02       2.95074e+00
   60  1.20e-04      4.36587e+00       4.17942e-02       2.92451e+00
   61  1.22e-04      4.37954e+00       5.18211e-02       2.93696e+00
   62  1.24e-04      4.35581e+00       4.63132e-02       2.91931e+00
   63  1.26e-04      4.35518e+00       6.21194e-02       2.92416e+00
   64  1.28e-04      4.34080e+00       4.48862e-02       2.90883e+00
   65  1.30e-04      4.33637e+00       4.69944e-02       2.90658e+00
   66  1.32e-04      4.33794e+00       5.78629e-02       2.91124e+00
   67  1.34e-04      4.31413e+00       5.89133e-02       2.89572e+00
   68  1.36e-04      4.35099e+00       5.49293e-02       2.91897e+00
   69  1.38e-04      4.35073e+00       5.53529e-02       2.91894e+00
   70  1.40e-04      4.36146e+00       7.37895e-02       2.93224e+00
   71  1.42e-04      4.34095e+00       6.34312e-02       2.91511e+00
   72  1.44e-04      4.32809e+00       6.43961e-02       2.90686e+00
   73  1.46e-04      4.30474e+00       5.67884e-02       2.88876e+00
   74  1.48e-04      4.30556e+00       6.05431e-02       2.89056e+00
   75  1.50e-04      4.32040e+00       6.74228e-02       2.90274e+00
   76  1.52e-04      4.31443e+00       5.82694e-02       2.89571e+00
   77  1.54e-04      4.31835e+00       5.88795e-02       2.89853e+00
   78  1.56e-04      4.31201e+00       6.51216e-02       2.89638e+00
   79  1.58e-04      4.30046e+00       7.57673e-02       2.89223e+00
   80  1.60e-04      4.27338e+00       7.19224e-02       2.87290e+00
   81  1.62e-04      4.28574e+00       6.36278e-02       2.87837e+00
   82  1.64e-04      4.29022e+00       5.60058e-02       2.87882e+00
   83  1.66e-04      4.29292e+00       6.50068e-02       2.88361e+00
   84  1.68e-04      4.31008e+00       5.56658e-02       2.89194e+00
   85  1.70e-04      4.31558e+00       6.58672e-02       2.89901e+00
   86  1.72e-04      4.31709e+00       5.37025e-02       2.89596e+00
   87  1.74e-04      4.30898e+00       7.19341e-02       2.89663e+00
   88  1.76e-04      4.29547e+00       8.75707e-02       2.89284e+00
   89  1.78e-04      4.29562e+00       8.17015e-02       2.89098e+00
   90  1.80e-04      4.28451e+00       7.55546e-02       2.88152e+00
   91  1.82e-04      4.28117e+00       8.09718e-02       2.88110e+00
   92  1.84e-04      4.28054e+00       7.76139e-02       2.87956e+00
   93  1.86e-04      4.31333e+00       7.15438e-02       2.89940e+00
   94  1.88e-04      4.31703e+00       7.58262e-02       2.90329e+00
   95  1.90e-04      4.33624e+00       7.83006e-02       2.91693e+00
   96  1.92e-04      4.32312e+00       9.28630e-02       2.91303e+00
   97  1.94e-04      4.35680e+00       8.56449e-02       2.93308e+00
   98  1.96e-04      4.34749e+00       7.58933e-02       2.92363e+00
   99  1.98e-04      4.30357e+00       9.27921e-02       2.89998e+00
  100  2.00e-04      4.31451e+00       7.68440e-02       2.90196e+00
  101  2.02e-04      4.32384e+00       8.68277e-02       2.91150e+00
  102  2.04e-04      4.29941e+00       7.87598e-02       2.89253e+00
  103  2.06e-04      4.28553e+00       8.61446e-02       2.88574e+00
  104  2.08e-04      4.26268e+00       8.18625e-02       2.86908e+00
