Delta = -6.939e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      2.73103e-03       5.36820e-03       3.61008e-03
    2  2.00e-06      5.42202e-03       7.00838e-03       5.95081e-03
    3  3.00e-06      8.96972e-03       1.37537e-02       1.05644e-02
    4  4.00e-06      1.17100e-02       1.91421e-02       1.41874e-02
    5  5.00e-06      1.57808e-02       2.52804e-02       1.89474e-02
    6  6.00e-06      1.95562e-02       2.90980e-02       2.27368e-02
    7  7.00e-06      2.48015e-02       3.27046e-02       2.74359e-02
    8  8.00e-06      2.94107e-02       3.26603e-02       3.04939e-02
    9  9.00e-06      3.08322e-02       3.89050e-02       3.35231e-02
   10  1.00e-05      3.26077e-02       4.70905e-02       3.74353e-02
   11  1.10e-05      3.36423e-02       4.55819e-02       3.76222e-02
   12  1.20e-05      3.50790e-02       5.13671e-02       4.05084e-02
   13  1.30e-05      4.09434e-02       5.64450e-02       4.61106e-02
   14  1.40e-05      4.30327e-02       6.00493e-02       4.87049e-02
   15  1.50e-05      4.61551e-02       8.17020e-02       5.80041e-02
   16  1.60e-05      4.94552e-02       7.19578e-02       5.69561e-02
   17  1.70e-05      5.43354e-02       7.58372e-02       6.15026e-02
   18  1.80e-05      5.72539e-02       8.20283e-02       6.55121e-02
   19  1.90e-05      6.20354e-02       7.58567e-02       6.66425e-02
   20  2.00e-05      6.43175e-02       9.12735e-02       7.33028e-02
   21  2.10e-05      6.81711e-02       9.80739e-02       7.81387e-02
   22  2.20e-05      7.31586e-02       8.46749e-02       7.69974e-02
   23  2.30e-05      7.89682e-02       1.11959e-01       8.99653e-02
   24  2.40e-05      8.01634e-02       1.01868e-01       8.73983e-02
   25  2.50e-05      8.30521e-02       1.09660e-01       9.19213e-02
   26  2.60e-05      8.73705e-02       1.13890e-01       9.62103e-02
   27  2.70e-05      9.12928e-02       1.02964e-01       9.51832e-02
   28  2.80e-05      9.42545e-02       1.31922e-01       1.06810e-01
   29  2.90e-05      9.72347e-02       1.06761e-01       1.00410e-01
   30  3.00e-05      1.00225e-01       1.25246e-01       1.08566e-01
   31  3.10e-05      1.02221e-01       1.20983e-01       1.08475e-01
   32  3.20e-05      1.05891e-01       1.31019e-01       1.14267e-01
   33  3.30e-05      1.12379e-01       1.31809e-01       1.18855e-01
   34  3.40e-05      1.16093e-01       1.34450e-01       1.22212e-01
   35  3.50e-05      1.17138e-01       1.32171e-01       1.22149e-01
   36  3.60e-05      1.19674e-01       1.31773e-01       1.23707e-01
   37  3.70e-05      1.21196e-01       1.37331e-01       1.26574e-01
   38  3.80e-05      1.21010e-01       1.39778e-01       1.27266e-01
   39  3.90e-05      1.23128e-01       1.44178e-01       1.30145e-01
   40  4.00e-05      1.28043e-01       1.35382e-01       1.30489e-01
   41  4.10e-05      1.30832e-01       1.42970e-01       1.34878e-01
   42  4.20e-05      1.32134e-01       1.43890e-01       1.36053e-01
   43  4.30e-05      1.33769e-01       1.27189e-01       1.31576e-01
   44  4.40e-05      1.36906e-01       1.17992e-01       1.30602e-01
   45  4.50e-05      1.37698e-01       1.45644e-01       1.40347e-01
   46  4.60e-05      1.42586e-01       1.39974e-01       1.41715e-01
   47  4.70e-05      1.46026e-01       1.37998e-01       1.43350e-01
   48  4.80e-05      1.51233e-01       1.49750e-01       1.50739e-01
   49  4.90e-05      1.61757e-01       1.25061e-01       1.49525e-01
   50  5.00e-05      1.58030e-01       1.47610e-01       1.54557e-01
   51  5.10e-05      1.58008e-01       1.45988e-01       1.54001e-01
   52  5.20e-05      1.68665e-01       1.36539e-01       1.57957e-01
   53  5.30e-05      1.75797e-01       1.43041e-01       1.64878e-01
   54  5.40e-05      1.79966e-01       1.57604e-01       1.72512e-01
   55  5.50e-05      1.83362e-01       1.95494e-01       1.87406e-01
   56  5.60e-05      1.82137e-01       1.58561e-01       1.74278e-01
   57  5.70e-05      1.84755e-01       1.89910e-01       1.86473e-01
   58  5.80e-05      1.84819e-01       1.97191e-01       1.88943e-01
   59  5.90e-05      1.89941e-01       1.87180e-01       1.89021e-01
   60  6.00e-05      1.95168e-01       1.59112e-01       1.83150e-01
   61  6.10e-05      1.98241e-01       1.89771e-01       1.95418e-01
   62  6.20e-05      2.02361e-01       1.66685e-01       1.90469e-01
   63  6.30e-05      2.07094e-01       1.76615e-01       1.96934e-01
