Delta = -5.789e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      5.53660e+00       0.00000e+00       3.69107e+00
    1  2.00e-06      5.41301e+00       9.19272e-04       3.60898e+00
    2  4.00e-06      5.41383e+00       1.77037e-03       3.60981e+00
    3  6.00e-06      5.47420e+00       2.95936e-03       3.65045e+00
    4  8.00e-06      5.48301e+00       4.03564e-03       3.65669e+00
    5  1.00e-05      5.48361e+00       3.64401e-03       3.65695e+00
    6  1.20e-05      5.52097e+00       5.43803e-03       3.68246e+00
    7  1.40e-05      5.51220e+00       7.92376e-03       3.67744e+00
    8  1.60e-05      5.53857e+00       1.08281e-02       3.69599e+00
    9  1.80e-05      5.57199e+00       1.00444e-02       3.71800e+00
   10  2.00e-05      5.52985e+00       1.15316e-02       3.69041e+00
   11  2.20e-05      5.53785e+00       1.31747e-02       3.69629e+00
   12  2.40e-05      5.52876e+00       9.94832e-03       3.68916e+00
   13  2.60e-05      5.52545e+00       1.39931e-02       3.68830e+00
   14  2.80e-05      5.48865e+00       1.49459e-02       3.66408e+00
   15  3.00e-05      5.48377e+00       1.77482e-02       3.66176e+00
   16  3.20e-05      5.50953e+00       1.94767e-02       3.67951e+00
   17  3.40e-05      5.50504e+00       1.88055e-02       3.67630e+00
   18  3.60e-05      5.47188e+00       2.43928e-02       3.65605e+00
   19  3.80e-05      5.44635e+00       2.68562e-02       3.63985e+00
   20  4.00e-05      5.47909e+00       2.41936e-02       3.66079e+00
   21  4.20e-05      5.49276e+00       2.25006e-02       3.66934e+00
   22  4.40e-05      5.54635e+00       2.56127e-02       3.70610e+00
   23  4.60e-05      5.50501e+00       2.27620e-02       3.67760e+00
   24  4.80e-05      5.51167e+00       2.64146e-02       3.68325e+00
   25  5.00e-05      5.48529e+00       2.84737e-02       3.66635e+00
   26  5.20e-05      5.47741e+00       3.02102e-02       3.66168e+00
   27  5.40e-05      5.47779e+00       2.78609e-02       3.66115e+00
