Delta = -4.737e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-05      3.83598e-02       4.48908e-02       4.05368e-02
    2  2.00e-05      6.91845e-02       8.49059e-02       7.44250e-02
    3  3.00e-05      9.95648e-02       9.76815e-02       9.89370e-02
    4  4.00e-05      1.33894e-01       1.31123e-01       1.32970e-01
    5  5.00e-05      1.59096e-01       1.64098e-01       1.60763e-01
    6  6.00e-05      1.86728e-01       1.59767e-01       1.77741e-01
    7  7.00e-05      2.11855e-01       2.26355e-01       2.16688e-01
    8  8.00e-05      2.58502e-01       2.29228e-01       2.48744e-01
    9  9.00e-05      2.83682e-01       1.98241e-01       2.55201e-01
   10  1.00e-04      3.11692e-01       2.20234e-01       2.81206e-01
   11  1.10e-04      3.32764e-01       2.94221e-01       3.19916e-01
   12  1.20e-04      3.45291e-01       3.15213e-01       3.35265e-01
   13  1.30e-04      4.02259e-01       2.65752e-01       3.56757e-01
   14  1.40e-04      4.41238e-01       2.80785e-01       3.87754e-01
   15  1.50e-04      4.61916e-01       3.12998e-01       4.12277e-01
   16  1.60e-04      4.95622e-01       3.01348e-01       4.30864e-01
   17  1.70e-04      5.43791e-01       2.60139e-01       4.49241e-01
   18  1.80e-04      5.80642e-01       2.95490e-01       4.85591e-01
   19  1.90e-04      6.53964e-01       3.46704e-01       5.51544e-01
   20  2.00e-04      7.29676e-01       3.38388e-01       5.99247e-01
   21  2.10e-04      7.96522e-01       3.29851e-01       6.40965e-01
   22  2.20e-04      8.49581e-01       3.38134e-01       6.79099e-01
   23  2.30e-04      8.66690e-01       3.29786e-01       6.87722e-01
   24  2.40e-04      9.33758e-01       2.98770e-01       7.22095e-01
   25  2.50e-04      9.94149e-01       3.45311e-01       7.77870e-01
   26  2.60e-04      1.06305e+00       3.51084e-01       8.25725e-01
   27  2.70e-04      1.11997e+00       3.16372e-01       8.52107e-01
   28  2.80e-04      1.12354e+00       3.31069e-01       8.59382e-01
   29  2.90e-04      1.10922e+00       2.91584e-01       8.36676e-01
   30  3.00e-04      1.15501e+00       2.89254e-01       8.66422e-01
   31  3.10e-04      1.15767e+00       3.49197e-01       8.88177e-01
   32  3.20e-04      1.18026e+00       3.25022e-01       8.95181e-01
   33  3.30e-04      1.22812e+00       2.99413e-01       9.18551e-01
   34  3.40e-04      1.23769e+00       3.25209e-01       9.33527e-01
   35  3.50e-04      1.25287e+00       3.41547e-01       9.49095e-01
   36  3.60e-04      1.26923e+00       3.13683e-01       9.50715e-01
   37  3.70e-04      1.34937e+00       3.47625e-01       1.01545e+00
   38  3.80e-04      1.36274e+00       3.58236e-01       1.02791e+00
   39  3.90e-04      1.37625e+00       2.98448e-01       1.01698e+00
   40  4.00e-04      1.38832e+00       3.19445e-01       1.03203e+00
   41  4.10e-04      1.42981e+00       2.96918e-01       1.05218e+00
   42  4.20e-04      1.48783e+00       3.37041e-01       1.10423e+00
   43  4.30e-04      1.51194e+00       3.48565e-01       1.12415e+00
   44  4.40e-04      1.54492e+00       3.32188e-01       1.14068e+00
   45  4.50e-04      1.58208e+00       3.19844e-01       1.16133e+00
   46  4.60e-04      1.61356e+00       3.03360e-01       1.17683e+00
   47  4.70e-04      1.65050e+00       2.51900e-01       1.18430e+00
   48  4.80e-04      1.69339e+00       3.41739e-01       1.24284e+00
   49  4.90e-04      1.73578e+00       2.42488e-01       1.23802e+00
   50  5.00e-04      1.80236e+00       2.32592e-01       1.27911e+00
   51  5.10e-04      1.81495e+00       2.81824e-01       1.30390e+00
   52  5.20e-04      1.87122e+00       3.15830e-01       1.35276e+00
   53  5.30e-04      1.87505e+00       2.69716e-01       1.33994e+00
   54  5.40e-04      1.94052e+00       2.84592e-01       1.38855e+00
   55  5.50e-04      2.00125e+00       3.51304e-01       1.45127e+00
   56  5.60e-04      1.97173e+00       4.02531e-01       1.44866e+00
   57  5.70e-04      2.02544e+00       3.49917e-01       1.46693e+00
   58  5.80e-04      2.01720e+00       3.51490e-01       1.46196e+00
   59  5.90e-04      2.09528e+00       3.28576e-01       1.50638e+00
   60  6.00e-04      2.16511e+00       3.37750e-01       1.55599e+00
   61  6.10e-04      2.13272e+00       3.30059e-01       1.53184e+00
   62  6.20e-04      2.17037e+00       2.94804e-01       1.54518e+00
   63  6.30e-04      2.18502e+00       3.23335e-01       1.56446e+00
   64  6.40e-04      2.25303e+00       2.74746e-01       1.59360e+00
   65  6.50e-04      2.25900e+00       2.95508e-01       1.60450e+00
   66  6.60e-04      2.31467e+00       2.81349e-01       1.63690e+00
   67  6.70e-04      2.39910e+00       2.66687e-01       1.68829e+00
   68  6.80e-04      2.44631e+00       2.61048e-01       1.71789e+00
   69  6.90e-04      2.42200e+00       2.86892e-01       1.71030e+00
   70  7.00e-04      2.46308e+00       2.94176e-01       1.74011e+00
   71  7.10e-04      2.47008e+00       2.76623e-01       1.73893e+00
   72  7.20e-04      2.54350e+00       2.57682e-01       1.78156e+00
   73  7.30e-04      2.55946e+00       2.34594e-01       1.78450e+00
   74  7.40e-04      2.57693e+00       2.90814e-01       1.81489e+00
   75  7.50e-04      2.59628e+00       3.00698e-01       1.83109e+00
   76  7.60e-04      2.66822e+00       3.14529e-01       1.88366e+00
   77  7.70e-04      2.72056e+00       2.76909e-01       1.90601e+00
   78  7.80e-04      2.70769e+00       2.36364e-01       1.88392e+00
   79  7.90e-04      2.69584e+00       3.05864e-01       1.89918e+00
   80  8.00e-04      2.79031e+00       2.57813e-01       1.94614e+00
   81  8.10e-04      2.78146e+00       3.09361e-01       1.95743e+00
   82  8.20e-04      2.82619e+00       2.07269e-01       1.95321e+00
   83  8.30e-04      2.86937e+00       2.81038e-01       2.00659e+00
   84  8.40e-04      2.88981e+00       3.26889e-01       2.03551e+00
   85  8.50e-04      2.94834e+00       2.96100e-01       2.06426e+00
   86  8.60e-04      3.00389e+00       3.38413e-01       2.11540e+00
   87  8.70e-04      3.04818e+00       3.41066e-01       2.14581e+00
   88  8.80e-04      3.17675e+00       3.41922e-01       2.23181e+00
   89  8.90e-04      3.15417e+00       2.73442e-01       2.19392e+00
   90  9.00e-04      3.18630e+00       2.93934e-01       2.22218e+00
   91  9.10e-04      3.22538e+00       3.35032e-01       2.26193e+00
   92  9.20e-04      3.24711e+00       2.86356e-01       2.26019e+00
   93  9.30e-04      3.29458e+00       3.11997e-01       2.30039e+00
   94  9.40e-04      3.37587e+00       3.00896e-01       2.35088e+00
   95  9.50e-04      3.45268e+00       3.06631e-01       2.40399e+00
   96  9.60e-04      3.51815e+00       3.39842e-01       2.45871e+00
   97  9.70e-04      3.64690e+00       3.03060e-01       2.53228e+00
   98  9.80e-04      3.67831e+00       2.90590e-01       2.54907e+00
   99  9.90e-04      3.72347e+00       3.15861e-01       2.58760e+00
  100  1.00e-03      3.73492e+00       3.21624e-01       2.59716e+00
  101  1.01e-03      3.71912e+00       3.11753e-01       2.58333e+00
  102  1.02e-03      3.70733e+00       2.80073e-01       2.56491e+00
  103  1.03e-03      3.72081e+00       3.52955e-01       2.59819e+00
  104  1.04e-03      3.76552e+00       2.91705e-01       2.60758e+00
  105  1.05e-03      3.81268e+00       2.36253e-01       2.62054e+00
  106  1.06e-03      3.78749e+00       2.98431e-01       2.62447e+00
  107  1.07e-03      3.83214e+00       3.19443e-01       2.66124e+00
  108  1.08e-03      3.83462e+00       3.85453e-01       2.68490e+00
  109  1.09e-03      3.78890e+00       3.14672e-01       2.63082e+00
  110  1.10e-03      3.75176e+00       3.13567e-01       2.60569e+00
  111  1.11e-03      3.79940e+00       2.67445e-01       2.62208e+00
  112  1.12e-03      3.77316e+00       2.90528e-01       2.61229e+00
  113  1.13e-03      3.78413e+00       3.49842e-01       2.63937e+00
  114  1.14e-03      3.72078e+00       3.22473e-01       2.58801e+00
  115  1.15e-03      3.72227e+00       2.63935e-01       2.56949e+00
  116  1.16e-03      3.73318e+00       2.12285e-01       2.55955e+00
  117  1.17e-03      3.78978e+00       2.80013e-01       2.61986e+00
  118  1.18e-03      3.84498e+00       2.46629e-01       2.64553e+00
  119  1.19e-03      3.98602e+00       2.71676e-01       2.74791e+00
  120  1.20e-03      3.96341e+00       3.02545e-01       2.74312e+00
  121  1.21e-03      4.01257e+00       2.35196e-01       2.75345e+00
