Delta = -4.655e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      4.83811e+00       0.00000e+00       3.22541e+00
    1  2.00e-06      4.71909e+00       1.03420e-03       3.14641e+00
    2  4.00e-06      4.74832e+00       2.63937e-03       3.16642e+00
    3  6.00e-06      4.75946e+00       3.98165e-03       3.17430e+00
    4  8.00e-06      4.72984e+00       5.76102e-03       3.15514e+00
    5  1.00e-05      4.77254e+00       6.44969e-03       3.18384e+00
    6  1.20e-05      4.82652e+00       1.06528e-02       3.22123e+00
    7  1.40e-05      4.77902e+00       1.02238e-02       3.18942e+00
    8  1.60e-05      4.73322e+00       1.10461e-02       3.15916e+00
    9  1.80e-05      4.72926e+00       1.63442e-02       3.15829e+00
   10  2.00e-05      4.74350e+00       1.69403e-02       3.16798e+00
   11  2.20e-05      4.78266e+00       1.48482e-02       3.19339e+00
   12  2.40e-05      4.78859e+00       2.30894e-02       3.20009e+00
   13  2.60e-05      4.78800e+00       1.86925e-02       3.19823e+00
   14  2.80e-05      4.73540e+00       2.18508e-02       3.16422e+00
   15  3.00e-05      4.78237e+00       2.76193e-02       3.19745e+00
   16  3.20e-05      4.75642e+00       2.62647e-02       3.17970e+00
   17  3.40e-05      4.69387e+00       2.97995e-02       3.13918e+00
   18  3.60e-05      4.73503e+00       3.07428e-02       3.16693e+00
   19  3.80e-05      4.78502e+00       3.82672e-02       3.20277e+00
   20  4.00e-05      4.80171e+00       3.34483e-02       3.21229e+00
   21  4.20e-05      4.80968e+00       3.67011e-02       3.21869e+00
   22  4.40e-05      4.88801e+00       3.60120e-02       3.27068e+00
   23  4.60e-05      4.89164e+00       3.97582e-02       3.27435e+00
   24  4.80e-05      4.86346e+00       3.79753e-02       3.25497e+00
   25  5.00e-05      4.83844e+00       4.31390e-02       3.24000e+00
   26  5.20e-05      4.85522e+00       5.17972e-02       3.25408e+00
   27  5.40e-05      4.84995e+00       4.40752e-02       3.24799e+00
   28  5.60e-05      4.86071e+00       4.90840e-02       3.25683e+00
   29  5.80e-05      4.87439e+00       4.72044e-02       3.26533e+00
   30  6.00e-05      4.84451e+00       5.49573e-02       3.24799e+00
   31  6.20e-05      4.81603e+00       4.83338e-02       3.22680e+00
   32  6.40e-05      4.85454e+00       6.08435e-02       3.25664e+00
   33  6.60e-05      4.81655e+00       6.56679e-02       3.23293e+00
   34  6.80e-05      4.80702e+00       5.46487e-02       3.22290e+00
   35  7.00e-05      4.77842e+00       6.41310e-02       3.20699e+00
   36  7.20e-05      4.76355e+00       6.55321e-02       3.19754e+00
   37  7.40e-05      4.74063e+00       7.08451e-02       3.18403e+00
   38  7.60e-05      4.75069e+00       7.06415e-02       3.19067e+00
   39  7.80e-05      4.73933e+00       6.35529e-02       3.18074e+00
   40  8.00e-05      4.75100e+00       5.99495e-02       3.18731e+00
   41  8.20e-05      4.80923e+00       7.30156e-02       3.23049e+00
   42  8.40e-05      4.79290e+00       7.18364e-02       3.21921e+00
   43  8.60e-05      4.81792e+00       7.12805e-02       3.23570e+00
   44  8.80e-05      4.83975e+00       6.15876e-02       3.24703e+00
   45  9.00e-05      4.88592e+00       7.47579e-02       3.28220e+00
   46  9.20e-05      4.87035e+00       7.25894e-02       3.27110e+00
   47  9.40e-05      4.85277e+00       7.39977e-02       3.25985e+00
   48  9.60e-05      4.80461e+00       7.31586e-02       3.22746e+00
   49  9.80e-05      4.81392e+00       6.02951e-02       3.22938e+00
   50  1.00e-04      4.79238e+00       7.81245e-02       3.22096e+00
   51  1.02e-04      4.85631e+00       6.92671e-02       3.26063e+00
   52  1.04e-04      4.83894e+00       7.39716e-02       3.25062e+00
   53  1.06e-04      4.83899e+00       6.74993e-02       3.24849e+00
   54  1.08e-04      4.79103e+00       8.47678e-02       3.22228e+00
   55  1.10e-04      4.83769e+00       7.75828e-02       3.25099e+00
   56  1.12e-04      4.84404e+00       7.12736e-02       3.25312e+00
   57  1.14e-04      4.84392e+00       7.58772e-02       3.25457e+00
   58  1.16e-04      4.85146e+00       7.78997e-02       3.26027e+00
   59  1.18e-04      4.89084e+00       9.04868e-02       3.29073e+00
   60  1.20e-04      4.92508e+00       8.57410e-02       3.31197e+00
   61  1.22e-04      4.92010e+00       8.31598e-02       3.30779e+00
   62  1.24e-04      4.87238e+00       8.03214e-02       3.27502e+00
   63  1.26e-04      4.82716e+00       8.97908e-02       3.24804e+00
   64  1.28e-04      4.82522e+00       8.08773e-02       3.24377e+00
   65  1.30e-04      4.82371e+00       9.63906e-02       3.24794e+00
   66  1.32e-04      4.81214e+00       7.94074e-02       3.23456e+00
   67  1.34e-04      4.80211e+00       9.98262e-02       3.23468e+00
   68  1.36e-04      4.76983e+00       1.03969e-01       3.21455e+00
   69  1.38e-04      4.75014e+00       8.26380e-02       3.19430e+00
   70  1.40e-04      4.75345e+00       8.82559e-02       3.19838e+00
   71  1.42e-04      4.81087e+00       9.43220e-02       3.23869e+00
   72  1.44e-04      4.77864e+00       1.00266e-01       3.21918e+00
   73  1.46e-04      4.79059e+00       1.01913e-01       3.22770e+00
   74  1.48e-04      4.75921e+00       9.39296e-02       3.20411e+00
   75  1.50e-04      4.73486e+00       1.11241e-01       3.19366e+00
   76  1.52e-04      4.70385e+00       1.19047e-01       3.17558e+00
   77  1.54e-04      4.73289e+00       1.09819e-01       3.19186e+00
   78  1.56e-04      4.73997e+00       1.09391e-01       3.19645e+00
   79  1.58e-04      4.78929e+00       1.03648e-01       3.22741e+00
   80  1.60e-04      4.75132e+00       9.19800e-02       3.19821e+00
   81  1.62e-04      4.77810e+00       1.23775e-01       3.22666e+00
   82  1.64e-04      4.79861e+00       1.10274e-01       3.23583e+00
   83  1.66e-04      4.75869e+00       1.19829e-01       3.21240e+00
   84  1.68e-04      4.76078e+00       1.11110e-01       3.21089e+00
   85  1.70e-04      4.75561e+00       1.20213e-01       3.21048e+00
   86  1.72e-04      4.76007e+00       1.15597e-01       3.21191e+00
   87  1.74e-04      4.73059e+00       1.01843e-01       3.18767e+00
   88  1.76e-04      4.74088e+00       1.35514e-01       3.20576e+00
   89  1.78e-04      4.73491e+00       1.38325e-01       3.20271e+00
   90  1.80e-04      4.75990e+00       1.27645e-01       3.21581e+00
   91  1.82e-04      4.75190e+00       1.51958e-01       3.21859e+00
   92  1.84e-04      4.74974e+00       1.19786e-01       3.20642e+00
   93  1.86e-04      4.72227e+00       1.46780e-01       3.19711e+00
   94  1.88e-04      4.71692e+00       1.39945e-01       3.19126e+00
   95  1.90e-04      4.71655e+00       1.32494e-01       3.18853e+00
   96  1.92e-04      4.77944e+00       1.31684e-01       3.23019e+00
   97  1.94e-04      4.77708e+00       1.41476e-01       3.23188e+00
   98  1.96e-04      4.77675e+00       1.43619e-01       3.23238e+00
   99  1.98e-04      4.81325e+00       1.36408e-01       3.25430e+00
  100  2.00e-04      4.80796e+00       1.44166e-01       3.25336e+00
  101  2.02e-04      4.78722e+00       1.76508e-01       3.25032e+00
