Delta = -2.857e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      3.62881e-03       5.40126e-03       4.21962e-03
    2  2.00e-06      7.13521e-03       6.81077e-03       7.02706e-03
    3  3.00e-06      9.14395e-03       1.21284e-02       1.01388e-02
    4  4.00e-06      1.26502e-02       1.36649e-02       1.29884e-02
    5  5.00e-06      2.10711e-02       1.95417e-02       2.05613e-02
    6  6.00e-06      2.62180e-02       2.67363e-02       2.63907e-02
    7  7.00e-06      2.75952e-02       3.26610e-02       2.92838e-02
    8  8.00e-06      3.09604e-02       3.33732e-02       3.17646e-02
    9  9.00e-06      3.53132e-02       4.23388e-02       3.76550e-02
   10  1.00e-05      3.89189e-02       4.12873e-02       3.97083e-02
   11  1.10e-05      4.37113e-02       4.43524e-02       4.39250e-02
   12  1.20e-05      4.61576e-02       4.57606e-02       4.60252e-02
   13  1.30e-05      4.96376e-02       5.25967e-02       5.06240e-02
   14  1.40e-05      5.47384e-02       6.79844e-02       5.91537e-02
   15  1.50e-05      5.88872e-02       7.01198e-02       6.26314e-02
   16  1.60e-05      6.17218e-02       5.91505e-02       6.08647e-02
   17  1.70e-05      6.21488e-02       8.39564e-02       6.94180e-02
   18  1.80e-05      6.70694e-02       8.38072e-02       7.26487e-02
   19  1.90e-05      7.53391e-02       8.15173e-02       7.73985e-02
   20  2.00e-05      8.14288e-02       8.15634e-02       8.14737e-02
   21  2.10e-05      8.30499e-02       9.72101e-02       8.77700e-02
   22  2.20e-05      8.49143e-02       9.14701e-02       8.70996e-02
   23  2.30e-05      9.19526e-02       8.99615e-02       9.12889e-02
   24  2.40e-05      9.60785e-02       8.93680e-02       9.38417e-02
   25  2.50e-05      9.62242e-02       1.01469e-01       9.79726e-02
   26  2.60e-05      9.71442e-02       1.08478e-01       1.00922e-01
   27  2.70e-05      9.72406e-02       1.12894e-01       1.02458e-01
   28  2.80e-05      9.87029e-02       7.93125e-02       9.22394e-02
   29  2.90e-05      1.02334e-01       1.07162e-01       1.03943e-01
   30  3.00e-05      1.04113e-01       1.14965e-01       1.07730e-01
   31  3.10e-05      1.08036e-01       1.23726e-01       1.13266e-01
   32  3.20e-05      1.08864e-01       1.05510e-01       1.07746e-01
   33  3.30e-05      1.06168e-01       1.16203e-01       1.09513e-01
   34  3.40e-05      1.09911e-01       1.31346e-01       1.17056e-01
   35  3.50e-05      1.14013e-01       1.14792e-01       1.14272e-01
   36  3.60e-05      1.17905e-01       1.33192e-01       1.23001e-01
   37  3.70e-05      1.18500e-01       1.39189e-01       1.25397e-01
   38  3.80e-05      1.23946e-01       1.30967e-01       1.26286e-01
   39  3.90e-05      1.29414e-01       1.37378e-01       1.32069e-01
   40  4.00e-05      1.32006e-01       1.30206e-01       1.31406e-01
   41  4.10e-05      1.34844e-01       1.45213e-01       1.38300e-01
   42  4.20e-05      1.39359e-01       1.29629e-01       1.36116e-01
   43  4.30e-05      1.40159e-01       1.44079e-01       1.41465e-01
   44  4.40e-05      1.45511e-01       1.39270e-01       1.43431e-01
   45  4.50e-05      1.48059e-01       1.62484e-01       1.52868e-01
   46  4.60e-05      1.56214e-01       1.52971e-01       1.55133e-01
   47  4.70e-05      1.57560e-01       1.36983e-01       1.50701e-01
   48  4.80e-05      1.61904e-01       1.29372e-01       1.51060e-01
   49  4.90e-05      1.63727e-01       1.46456e-01       1.57970e-01
   50  5.00e-05      1.67743e-01       1.27926e-01       1.54471e-01
   51  5.10e-05      1.72062e-01       1.40849e-01       1.61657e-01
   52  5.20e-05      1.79610e-01       1.83592e-01       1.80937e-01
   53  5.30e-05      1.83082e-01       1.91002e-01       1.85722e-01
   54  5.40e-05      1.90069e-01       1.87514e-01       1.89217e-01
   55  5.50e-05      1.91661e-01       1.80712e-01       1.88012e-01
   56  5.60e-05      1.98143e-01       1.82734e-01       1.93007e-01
   57  5.70e-05      2.09574e-01       1.82621e-01       2.00590e-01
   58  5.80e-05      2.08593e-01       1.98143e-01       2.05110e-01
   59  5.90e-05      2.08552e-01       1.82850e-01       1.99985e-01
   60  6.00e-05      2.11647e-01       2.06192e-01       2.09829e-01
   61  6.10e-05      2.20368e-01       1.64418e-01       2.01718e-01
   62  6.20e-05      2.24749e-01       1.54268e-01       2.01255e-01
   63  6.30e-05      2.28038e-01       1.83421e-01       2.13165e-01
   64  6.40e-05      2.29732e-01       1.75117e-01       2.11527e-01
   65  6.50e-05      2.35440e-01       2.06267e-01       2.25716e-01
   66  6.60e-05      2.39763e-01       1.81250e-01       2.20259e-01
   67  6.70e-05      2.47936e-01       2.05961e-01       2.33944e-01
   68  6.80e-05      2.53298e-01       1.81746e-01       2.29447e-01
   69  6.90e-05      2.55127e-01       2.00393e-01       2.36883e-01
   70  7.00e-05      2.58068e-01       1.92385e-01       2.36174e-01
   71  7.10e-05      2.64337e-01       1.79623e-01       2.36099e-01
   72  7.20e-05      2.64852e-01       2.10456e-01       2.46720e-01
   73  7.30e-05      2.77540e-01       2.02040e-01       2.52374e-01
   74  7.40e-05      2.85528e-01       2.26641e-01       2.65899e-01
   75  7.50e-05      2.84442e-01       2.21857e-01       2.63580e-01
   76  7.60e-05      2.85230e-01       2.14354e-01       2.61604e-01
   77  7.70e-05      2.91303e-01       1.98348e-01       2.60318e-01
   78  7.80e-05      2.95615e-01       2.32469e-01       2.74566e-01
   79  7.90e-05      3.03660e-01       1.97646e-01       2.68322e-01
   80  8.00e-05      3.02613e-01       2.18707e-01       2.74644e-01
   81  8.10e-05      3.06460e-01       1.80460e-01       2.64460e-01
   82  8.20e-05      3.22473e-01       2.36213e-01       2.93720e-01
   83  8.30e-05      3.21405e-01       1.99633e-01       2.80814e-01
   84  8.40e-05      3.22657e-01       1.93081e-01       2.79465e-01
   85  8.50e-05      3.27495e-01       2.17288e-01       2.90760e-01
   86  8.60e-05      3.30799e-01       1.92922e-01       2.84840e-01
   87  8.70e-05      3.38054e-01       2.44725e-01       3.06945e-01
   88  8.80e-05      3.46549e-01       2.42104e-01       3.11734e-01
   89  8.90e-05      3.50003e-01       2.37636e-01       3.12547e-01
   90  9.00e-05      3.61748e-01       2.21591e-01       3.15029e-01
   91  9.10e-05      3.65433e-01       2.48048e-01       3.26305e-01
   92  9.20e-05      3.74574e-01       2.33922e-01       3.27690e-01
   93  9.30e-05      3.79774e-01       2.67041e-01       3.42196e-01
   94  9.40e-05      3.78119e-01       2.05180e-01       3.20472e-01
   95  9.50e-05      3.75581e-01       2.18449e-01       3.23204e-01
   96  9.60e-05      3.82914e-01       2.34362e-01       3.33397e-01
   97  9.70e-05      3.91704e-01       2.31235e-01       3.38215e-01
   98  9.80e-05      3.98628e-01       2.57382e-01       3.51546e-01
   99  9.90e-05      4.02082e-01       2.31489e-01       3.45218e-01
  100  1.00e-04      3.96938e-01       2.44306e-01       3.46061e-01
  101  1.01e-04      4.01659e-01       2.69565e-01       3.57628e-01
  102  1.02e-04      4.00293e-01       2.15439e-01       3.38675e-01
  103  1.03e-04      4.02407e-01       2.08060e-01       3.37625e-01
  104  1.04e-04      4.02588e-01       2.13081e-01       3.39419e-01
  105  1.05e-04      4.06631e-01       2.21236e-01       3.44832e-01
  106  1.06e-04      4.14491e-01       2.41599e-01       3.56860e-01
  107  1.07e-04      4.21179e-01       2.17606e-01       3.53321e-01
  108  1.08e-04      4.22164e-01       2.32081e-01       3.58803e-01
  109  1.09e-04      4.26621e-01       2.61421e-01       3.71554e-01
