Delta = -5.000e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      5.84314e+00       0.00000e+00       3.89542e+00
    1  1.00e-06      5.68567e+00       8.25827e-04       3.79072e+00
    2  2.00e-06      5.74469e+00       1.73293e-03       3.83037e+00
    3  3.00e-06      5.81237e+00       2.02300e-03       3.87559e+00
    4  4.00e-06      5.73377e+00       2.45166e-03       3.82333e+00
    5  5.00e-06      5.80173e+00       2.13902e-03       3.86854e+00
    6  6.00e-06      5.79213e+00       2.61486e-03       3.86229e+00
    7  7.00e-06      5.80680e+00       3.45762e-03       3.87235e+00
    8  8.00e-06      5.83627e+00       3.48336e-03       3.89201e+00
    9  9.00e-06      5.78412e+00       3.71957e-03       3.85732e+00
   10  1.00e-05      5.80221e+00       4.29787e-03       3.86957e+00
   11  1.10e-05      5.80440e+00       4.61787e-03       3.87114e+00
   12  1.20e-05      5.79617e+00       5.46877e-03       3.86594e+00
   13  1.30e-05      5.83023e+00       6.39635e-03       3.88895e+00
   14  1.40e-05      5.79603e+00       5.96349e-03       3.86601e+00
   15  1.50e-05      5.80160e+00       6.97866e-03       3.87006e+00
   16  1.60e-05      5.79850e+00       6.65454e-03       3.86789e+00
   17  1.70e-05      5.80215e+00       6.89390e-03       3.87040e+00
   18  1.80e-05      5.79938e+00       9.56169e-03       3.86944e+00
   19  1.90e-05      5.79169e+00       1.02157e-02       3.86453e+00
   20  2.00e-05      5.77476e+00       8.71183e-03       3.85274e+00
   21  2.10e-05      5.76019e+00       1.01573e-02       3.84352e+00
   22  2.20e-05      5.72345e+00       1.16318e-02       3.81951e+00
   23  2.30e-05      5.73008e+00       1.29190e-02       3.82436e+00
   24  2.40e-05      5.72140e+00       1.16896e-02       3.81817e+00
   25  2.50e-05      5.72107e+00       1.43375e-02       3.81882e+00
   26  2.60e-05      5.69803e+00       1.28725e-02       3.80298e+00
   27  2.70e-05      5.68704e+00       1.42384e-02       3.79610e+00
   28  2.80e-05      5.72030e+00       1.52649e-02       3.81862e+00
   29  2.90e-05      5.70882e+00       1.71268e-02       3.81159e+00
   30  3.00e-05      5.70735e+00       1.60841e-02       3.81026e+00
   31  3.10e-05      5.68485e+00       1.56872e-02       3.79513e+00
   32  3.20e-05      5.66967e+00       1.57808e-02       3.78504e+00
   33  3.30e-05      5.69744e+00       1.81617e-02       3.80435e+00
   34  3.40e-05      5.66723e+00       1.75720e-02       3.78401e+00
   35  3.50e-05      5.68045e+00       1.85190e-02       3.79314e+00
   36  3.60e-05      5.67836e+00       2.00503e-02       3.79225e+00
   37  3.70e-05      5.65563e+00       1.89398e-02       3.77673e+00
   38  3.80e-05      5.67322e+00       1.94946e-02       3.78865e+00
   39  3.90e-05      5.66014e+00       2.11640e-02       3.78048e+00
   40  4.00e-05      5.66698e+00       1.78137e-02       3.78392e+00
   41  4.10e-05      5.66065e+00       1.76845e-02       3.77966e+00
   42  4.20e-05      5.59699e+00       2.21764e-02       3.73872e+00
   43  4.30e-05      5.63364e+00       2.19294e-02       3.76307e+00
   44  4.40e-05      5.60421e+00       2.32573e-02       3.74389e+00
   45  4.50e-05      5.58969e+00       2.41353e-02       3.73451e+00
   46  4.60e-05      5.61624e+00       2.30437e-02       3.75184e+00
   47  4.70e-05      5.57328e+00       2.24190e-02       3.72299e+00
   48  4.80e-05      5.61853e+00       2.63591e-02       3.75447e+00
   49  4.90e-05      5.59363e+00       2.43725e-02       3.73721e+00
   50  5.00e-05      5.52519e+00       2.29496e-02       3.69111e+00
   51  5.10e-05      5.55520e+00       2.44100e-02       3.71161e+00
   52  5.20e-05      5.53568e+00       2.71421e-02       3.69950e+00
   53  5.30e-05      5.49622e+00       2.92967e-02       3.67392e+00
   54  5.40e-05      5.54511e+00       2.75870e-02       3.70594e+00
   55  5.50e-05      5.53149e+00       2.97974e-02       3.69759e+00
   56  5.60e-05      5.53111e+00       3.12907e-02       3.69783e+00
   57  5.70e-05      5.52032e+00       3.14429e-02       3.69070e+00
   58  5.80e-05      5.53251e+00       3.24525e-02       3.69915e+00
   59  5.90e-05      5.54397e+00       3.75713e-02       3.70851e+00
   60  6.00e-05      5.50818e+00       3.19063e-02       3.68276e+00
   61  6.10e-05      5.49863e+00       3.00441e-02       3.67577e+00
   62  6.20e-05      5.50820e+00       4.08498e-02       3.68575e+00
   63  6.30e-05      5.51228e+00       4.15911e-02       3.68871e+00
   64  6.40e-05      5.48492e+00       3.86510e-02       3.66949e+00
   65  6.50e-05      5.44416e+00       3.85228e-02       3.64228e+00
   66  6.60e-05      5.46640e+00       4.00096e-02       3.65760e+00
   67  6.70e-05      5.42944e+00       4.43250e-02       3.63440e+00
   68  6.80e-05      5.44105e+00       3.59661e-02       3.63936e+00
   69  6.90e-05      5.42598e+00       4.00863e-02       3.63068e+00
   70  7.00e-05      5.43341e+00       3.79347e-02       3.63492e+00
   71  7.10e-05      5.46544e+00       5.00125e-02       3.66030e+00
   72  7.20e-05      5.45383e+00       4.32071e-02       3.65029e+00
   73  7.30e-05      5.49207e+00       4.52405e-02       3.67646e+00
   74  7.40e-05      5.46034e+00       5.04038e-02       3.65703e+00
