Delta = -1.474e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  5.00e-06      1.35620e-01       1.43189e-01       1.38143e-01
    2  1.00e-05      2.62580e-01       2.77365e-01       2.67509e-01
    3  1.50e-05      3.82415e-01       3.26721e-01       3.63850e-01
    4  2.00e-05      4.42550e-01       3.40429e-01       4.08509e-01
    5  2.50e-05      5.71256e-01       2.76179e-01       4.72897e-01
    6  3.00e-05      6.96280e-01       3.66815e-01       5.86458e-01
    7  3.50e-05      9.04256e-01       3.20099e-01       7.09537e-01
    8  4.00e-05      1.05266e+00       3.58536e-01       8.21284e-01
    9  4.50e-05      1.22221e+00       3.39068e-01       9.27826e-01
   10  5.00e-05      1.25801e+00       3.38102e-01       9.51376e-01
   11  5.50e-05      1.31859e+00       3.06582e-01       9.81252e-01
   12  6.00e-05      1.51800e+00       3.81268e-01       1.13909e+00
   13  6.50e-05      1.55787e+00       4.22806e-01       1.17952e+00
   14  7.00e-05      1.61928e+00       3.59214e-01       1.19926e+00
   15  7.50e-05      1.72405e+00       3.49164e-01       1.26576e+00
   16  8.00e-05      1.84137e+00       3.66115e-01       1.34962e+00
   17  8.50e-05      1.97213e+00       3.17062e-01       1.42044e+00
   18  9.00e-05      2.05216e+00       2.89796e-01       1.46471e+00
   19  9.50e-05      2.12966e+00       3.14280e-01       1.52454e+00
   20  1.00e-04      2.22974e+00       3.19994e-01       1.59316e+00
   21  1.05e-04      2.26689e+00       2.36014e-01       1.58993e+00
   22  1.10e-04      2.32128e+00       2.89556e-01       1.64404e+00
   23  1.15e-04      2.57403e+00       3.14797e-01       1.82095e+00
   24  1.20e-04      2.57726e+00       3.41611e-01       1.83205e+00
   25  1.25e-04      2.79695e+00       3.75095e-01       1.98967e+00
   26  1.30e-04      2.80667e+00       4.42052e-01       2.01847e+00
   27  1.35e-04      2.84617e+00       4.07466e-01       2.03327e+00
   28  1.40e-04      3.01943e+00       3.99600e-01       2.14615e+00
   29  1.45e-04      3.05288e+00       3.66456e-01       2.15741e+00
   30  1.50e-04      3.14789e+00       3.08283e-01       2.20136e+00
   31  1.55e-04      3.09079e+00       3.55173e-01       2.17892e+00
   32  1.60e-04      3.19132e+00       3.61176e-01       2.24794e+00
   33  1.65e-04      3.15237e+00       3.11760e-01       2.20550e+00
   34  1.70e-04      3.38414e+00       3.62329e-01       2.37687e+00
   35  1.75e-04      3.55440e+00       2.85814e-01       2.46487e+00
   36  1.80e-04      3.93202e+00       3.63628e-01       2.74256e+00
   37  1.85e-04      4.06494e+00       4.26189e-01       2.85203e+00
   38  1.90e-04      4.09978e+00       3.24409e-01       2.84132e+00
   39  1.95e-04      4.16575e+00       3.45482e-01       2.89233e+00
   40  2.00e-04      4.18696e+00       3.46441e-01       2.90679e+00
   41  2.05e-04      4.36374e+00       3.92186e-01       3.03989e+00
   42  2.10e-04      4.29791e+00       3.37812e-01       2.97788e+00
   43  2.15e-04      4.41476e+00       4.05072e-01       3.07820e+00
   44  2.20e-04      4.48903e+00       3.46791e-01       3.10828e+00
   45  2.25e-04      4.69465e+00       3.40804e-01       3.24337e+00
   46  2.30e-04      4.84859e+00       2.99615e-01       3.33226e+00
   47  2.35e-04      4.94565e+00       3.45782e-01       3.41236e+00
   48  2.40e-04      5.16258e+00       3.03172e-01       3.54278e+00
   49  2.45e-04      5.26579e+00       2.95608e-01       3.60906e+00
   50  2.50e-04      5.19483e+00       3.60946e-01       3.58354e+00
   51  2.55e-04      5.50764e+00       4.11352e-01       3.80888e+00
   52  2.60e-04      5.59964e+00       3.45700e-01       3.84833e+00
   53  2.65e-04      5.85237e+00       3.38979e-01       4.01457e+00
   54  2.70e-04      5.95863e+00       2.56910e-01       4.05806e+00
   55  2.75e-04      6.10843e+00       2.99374e-01       4.17208e+00
   56  2.80e-04      6.14613e+00       3.60304e-01       4.21752e+00
   57  2.85e-04      6.19866e+00       3.47464e-01       4.24826e+00
   58  2.90e-04      6.27718e+00       3.53751e-01       4.30270e+00
   59  2.95e-04      6.26480e+00       3.64917e-01       4.29817e+00
   60  3.00e-04      6.28233e+00       3.03547e-01       4.28940e+00
   61  3.05e-04      6.41134e+00       4.75847e-01       4.43284e+00
   62  3.10e-04      6.41397e+00       3.48957e-01       4.39230e+00
   63  3.15e-04      6.79827e+00       3.43238e-01       4.64659e+00
