Delta = -5.737e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      1.24133e-02       1.89735e-02       1.46000e-02
    2  2.00e-06      2.26083e-02       3.99431e-02       2.83865e-02
    3  3.00e-06      3.63759e-02       6.21384e-02       4.49634e-02
    4  4.00e-06      4.30059e-02       6.37082e-02       4.99067e-02
    5  5.00e-06      5.26597e-02       6.34725e-02       5.62640e-02
    6  6.00e-06      6.45705e-02       9.46221e-02       7.45877e-02
    7  7.00e-06      7.83392e-02       8.78669e-02       8.15151e-02
    8  8.00e-06      9.36248e-02       1.31722e-01       1.06324e-01
    9  9.00e-06      9.88797e-02       1.13746e-01       1.03835e-01
   10  1.00e-05      1.03902e-01       1.32144e-01       1.13316e-01
   11  1.10e-05      1.20783e-01       1.55174e-01       1.32247e-01
   12  1.20e-05      1.31407e-01       1.67352e-01       1.43389e-01
   13  1.30e-05      1.36176e-01       1.38076e-01       1.36810e-01
   14  1.40e-05      1.52640e-01       1.33322e-01       1.46201e-01
   15  1.50e-05      1.63840e-01       1.62088e-01       1.63256e-01
   16  1.60e-05      1.69299e-01       1.62582e-01       1.67060e-01
   17  1.70e-05      1.73475e-01       1.73365e-01       1.73439e-01
   18  1.80e-05      2.00723e-01       1.75569e-01       1.92339e-01
   19  1.90e-05      2.18210e-01       1.93714e-01       2.10045e-01
   20  2.00e-05      2.39788e-01       2.03766e-01       2.27781e-01
   21  2.10e-05      2.49039e-01       2.07235e-01       2.35105e-01
   22  2.20e-05      2.62995e-01       2.06464e-01       2.44152e-01
   23  2.30e-05      2.66134e-01       1.69673e-01       2.33980e-01
   24  2.40e-05      2.68971e-01       2.34034e-01       2.57326e-01
   25  2.50e-05      2.73538e-01       2.21227e-01       2.56101e-01
   26  2.60e-05      2.86409e-01       2.31374e-01       2.68064e-01
   27  2.70e-05      3.13915e-01       2.17378e-01       2.81736e-01
   28  2.80e-05      3.23120e-01       2.45023e-01       2.97088e-01
   29  2.90e-05      3.35599e-01       2.13976e-01       2.95058e-01
   30  3.00e-05      3.53130e-01       2.40060e-01       3.15440e-01
   31  3.10e-05      3.67791e-01       2.44979e-01       3.26854e-01
   32  3.20e-05      3.77635e-01       2.04022e-01       3.19764e-01
   33  3.30e-05      3.94851e-01       2.16539e-01       3.35414e-01
   34  3.40e-05      3.93907e-01       2.38563e-01       3.42126e-01
   35  3.50e-05      4.02661e-01       2.40493e-01       3.48605e-01
   36  3.60e-05      4.10422e-01       2.34778e-01       3.51874e-01
   37  3.70e-05      4.01147e-01       3.02325e-01       3.68206e-01
   38  3.80e-05      3.93230e-01       2.70657e-01       3.52372e-01
   39  3.90e-05      4.04464e-01       2.66049e-01       3.58326e-01
   40  4.00e-05      4.25727e-01       2.73923e-01       3.75126e-01
   41  4.10e-05      4.41408e-01       3.14070e-01       3.98962e-01
   42  4.20e-05      4.45113e-01       2.76546e-01       3.88924e-01
   43  4.30e-05      4.49062e-01       3.42469e-01       4.13531e-01
   44  4.40e-05      4.58831e-01       2.94795e-01       4.04152e-01
   45  4.50e-05      4.55340e-01       3.00522e-01       4.03734e-01
   46  4.60e-05      4.62975e-01       2.74471e-01       4.00141e-01
   47  4.70e-05      4.72071e-01       2.80500e-01       4.08214e-01
   48  4.80e-05      4.85408e-01       2.89753e-01       4.20190e-01
   49  4.90e-05      5.24103e-01       2.82867e-01       4.43691e-01
   50  5.00e-05      5.40061e-01       3.29142e-01       4.69755e-01
   51  5.10e-05      5.46804e-01       2.83486e-01       4.59031e-01
   52  5.20e-05      5.55735e-01       3.34045e-01       4.81839e-01
   53  5.30e-05      5.82135e-01       3.85796e-01       5.16689e-01
   54  5.40e-05      5.88615e-01       3.13959e-01       4.97063e-01
   55  5.50e-05      6.22732e-01       3.21440e-01       5.22301e-01
   56  5.60e-05      6.29495e-01       3.46438e-01       5.35143e-01
   57  5.70e-05      6.39028e-01       3.02536e-01       5.26864e-01
   58  5.80e-05      6.27228e-01       3.48610e-01       5.34355e-01
   59  5.90e-05      6.46867e-01       3.75098e-01       5.56277e-01
   60  6.00e-05      6.43758e-01       3.31825e-01       5.39780e-01
   61  6.10e-05      6.49666e-01       3.53984e-01       5.51106e-01
   62  6.20e-05      6.69536e-01       3.33145e-01       5.57406e-01
   63  6.30e-05      6.81485e-01       3.03090e-01       5.55353e-01
   64  6.40e-05      6.85040e-01       3.33541e-01       5.67874e-01
   65  6.50e-05      7.03522e-01       2.79593e-01       5.62213e-01
   66  6.60e-05      6.88593e-01       3.27345e-01       5.68177e-01
   67  6.70e-05      6.84608e-01       3.32558e-01       5.67258e-01
   68  6.80e-05      7.03622e-01       3.26892e-01       5.78045e-01
   69  6.90e-05      7.15364e-01       3.36388e-01       5.89039e-01
   70  7.00e-05      7.50514e-01       3.29652e-01       6.10227e-01
   71  7.10e-05      7.60264e-01       2.69819e-01       5.96783e-01
   72  7.20e-05      7.91846e-01       3.68190e-01       6.50627e-01
   73  7.30e-05      8.06468e-01       3.17020e-01       6.43319e-01
   74  7.40e-05      8.10357e-01       2.42884e-01       6.21199e-01
   75  7.50e-05      8.19127e-01       3.09555e-01       6.49270e-01
   76  7.60e-05      8.20916e-01       2.62847e-01       6.34893e-01
   77  7.70e-05      7.99207e-01       2.54036e-01       6.17483e-01
   78  7.80e-05      7.95515e-01       3.08572e-01       6.33201e-01
   79  7.90e-05      8.04613e-01       2.23796e-01       6.11007e-01
   80  8.00e-05      8.09870e-01       3.07400e-01       6.42380e-01
   81  8.10e-05      8.43044e-01       3.36684e-01       6.74257e-01
   82  8.20e-05      8.27377e-01       2.66688e-01       6.40481e-01
   83  8.30e-05      8.21185e-01       3.08885e-01       6.50418e-01
   84  8.40e-05      8.39459e-01       2.95088e-01       6.58002e-01
   85  8.50e-05      8.53232e-01       3.23344e-01       6.76603e-01
   86  8.60e-05      8.65712e-01       3.03920e-01       6.78448e-01
   87  8.70e-05      8.78855e-01       2.86073e-01       6.81261e-01
   88  8.80e-05      8.96513e-01       2.65403e-01       6.86143e-01
   89  8.90e-05      8.99565e-01       2.87197e-01       6.95442e-01
   90  9.00e-05      9.12705e-01       2.80562e-01       7.01991e-01
   91  9.10e-05      9.36871e-01       3.08221e-01       7.27321e-01
   92  9.20e-05      9.27145e-01       2.74920e-01       7.09736e-01
   93  9.30e-05      9.22204e-01       3.41068e-01       7.28492e-01
   94  9.40e-05      9.43678e-01       2.36808e-01       7.08055e-01
   95  9.50e-05      9.31021e-01       2.87469e-01       7.16504e-01
   96  9.60e-05      9.73119e-01       2.56578e-01       7.34272e-01
   97  9.70e-05      9.72039e-01       2.07504e-01       7.17194e-01
   98  9.80e-05      9.82171e-01       2.98320e-01       7.54221e-01
   99  9.90e-05      1.00469e+00       3.04246e-01       7.71206e-01
