Delta = -8.571e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      4.15230e-03       4.43467e-03       4.24643e-03
    2  2.00e-06      7.49308e-03       8.09666e-03       7.69428e-03
    3  3.00e-06      9.51103e-03       1.51902e-02       1.14041e-02
    4  4.00e-06      1.42069e-02       1.61076e-02       1.48404e-02
    5  5.00e-06      1.83995e-02       2.53075e-02       2.07022e-02
    6  6.00e-06      2.37985e-02       2.50435e-02       2.42135e-02
    7  7.00e-06      2.62026e-02       2.94943e-02       2.72998e-02
    8  8.00e-06      2.82908e-02       3.68363e-02       3.11393e-02
    9  9.00e-06      3.49308e-02       3.78127e-02       3.58915e-02
   10  1.00e-05      4.43429e-02       3.45493e-02       4.10784e-02
   11  1.10e-05      4.74036e-02       4.55516e-02       4.67862e-02
   12  1.20e-05      5.18927e-02       4.67940e-02       5.01931e-02
   13  1.30e-05      5.34532e-02       5.72614e-02       5.47226e-02
   14  1.40e-05      5.70563e-02       5.61768e-02       5.67631e-02
   15  1.50e-05      6.00673e-02       6.63158e-02       6.21501e-02
   16  1.60e-05      6.25570e-02       6.96273e-02       6.49137e-02
   17  1.70e-05      7.00850e-02       5.63310e-02       6.55003e-02
   18  1.80e-05      7.48839e-02       6.96708e-02       7.31462e-02
   19  1.90e-05      7.68132e-02       7.58350e-02       7.64872e-02
   20  2.00e-05      7.78581e-02       8.62704e-02       8.06622e-02
   21  2.10e-05      8.14980e-02       1.05508e-01       8.95015e-02
   22  2.20e-05      8.68767e-02       8.51182e-02       8.62905e-02
   23  2.30e-05      8.96292e-02       1.01210e-01       9.34893e-02
   24  2.40e-05      9.66830e-02       1.07047e-01       1.00138e-01
   25  2.50e-05      1.03170e-01       1.05286e-01       1.03875e-01
   26  2.60e-05      1.03505e-01       1.12027e-01       1.06346e-01
   27  2.70e-05      1.12708e-01       1.19160e-01       1.14859e-01
   28  2.80e-05      1.16289e-01       1.17885e-01       1.16821e-01
   29  2.90e-05      1.17687e-01       1.07220e-01       1.14198e-01
   30  3.00e-05      1.15313e-01       1.15987e-01       1.15538e-01
   31  3.10e-05      1.19454e-01       1.30026e-01       1.22978e-01
   32  3.20e-05      1.27177e-01       1.15492e-01       1.23282e-01
   33  3.30e-05      1.25239e-01       1.53125e-01       1.34535e-01
   34  3.40e-05      1.25034e-01       1.55788e-01       1.35285e-01
   35  3.50e-05      1.26608e-01       1.35377e-01       1.29531e-01
   36  3.60e-05      1.31048e-01       1.43654e-01       1.35250e-01
   37  3.70e-05      1.36132e-01       1.49935e-01       1.40733e-01
   38  3.80e-05      1.38447e-01       1.58312e-01       1.45069e-01
   39  3.90e-05      1.39158e-01       1.77091e-01       1.51802e-01
   40  4.00e-05      1.43121e-01       1.49109e-01       1.45117e-01
   41  4.10e-05      1.43672e-01       1.67666e-01       1.51670e-01
   42  4.20e-05      1.46429e-01       1.54528e-01       1.49129e-01
   43  4.30e-05      1.48501e-01       1.72396e-01       1.56466e-01
   44  4.40e-05      1.52574e-01       1.44635e-01       1.49928e-01
   45  4.50e-05      1.57434e-01       1.74983e-01       1.63284e-01
   46  4.60e-05      1.65820e-01       1.81494e-01       1.71044e-01
   47  4.70e-05      1.67972e-01       1.78121e-01       1.71355e-01
   48  4.80e-05      1.72323e-01       1.77792e-01       1.74146e-01
   49  4.90e-05      1.80062e-01       1.64387e-01       1.74837e-01
   50  5.00e-05      1.85634e-01       1.49888e-01       1.73719e-01
   51  5.10e-05      1.91907e-01       1.79988e-01       1.87934e-01
   52  5.20e-05      1.96604e-01       1.61234e-01       1.84814e-01
   53  5.30e-05      2.01061e-01       1.55900e-01       1.86007e-01
   54  5.40e-05      1.98565e-01       2.03547e-01       2.00226e-01
   55  5.50e-05      2.00672e-01       1.92964e-01       1.98103e-01
   56  5.60e-05      2.03529e-01       1.60306e-01       1.89121e-01
   57  5.70e-05      2.05654e-01       1.77304e-01       1.96204e-01
   58  5.80e-05      2.05507e-01       1.99832e-01       2.03615e-01
   59  5.90e-05      2.06739e-01       2.15906e-01       2.09795e-01
   60  6.00e-05      2.08468e-01       2.03273e-01       2.06737e-01
   61  6.10e-05      2.07244e-01       2.12030e-01       2.08839e-01
   62  6.20e-05      2.08045e-01       1.73366e-01       1.96485e-01
   63  6.30e-05      2.14668e-01       1.99271e-01       2.09536e-01
   64  6.40e-05      2.18701e-01       1.93984e-01       2.10462e-01
   65  6.50e-05      2.23828e-01       1.61316e-01       2.02991e-01
   66  6.60e-05      2.23117e-01       2.14709e-01       2.20314e-01
   67  6.70e-05      2.28369e-01       2.26987e-01       2.27908e-01
   68  6.80e-05      2.33057e-01       2.31790e-01       2.32634e-01
   69  6.90e-05      2.31677e-01       1.98549e-01       2.20634e-01
   70  7.00e-05      2.33847e-01       2.00098e-01       2.22597e-01
   71  7.10e-05      2.35808e-01       2.24192e-01       2.31936e-01
   72  7.20e-05      2.44754e-01       2.43615e-01       2.44374e-01
   73  7.30e-05      2.43856e-01       2.00807e-01       2.29506e-01
   74  7.40e-05      2.45293e-01       2.24706e-01       2.38430e-01
   75  7.50e-05      2.52469e-01       1.99697e-01       2.34878e-01
   76  7.60e-05      2.51940e-01       2.33461e-01       2.45780e-01
   77  7.70e-05      2.51295e-01       2.15215e-01       2.39268e-01
   78  7.80e-05      2.59509e-01       2.51611e-01       2.56876e-01
   79  7.90e-05      2.59678e-01       2.43394e-01       2.54250e-01
   80  8.00e-05      2.66647e-01       1.98806e-01       2.44034e-01
   81  8.10e-05      2.69163e-01       2.62460e-01       2.66929e-01
   82  8.20e-05      2.70618e-01       2.34297e-01       2.58511e-01
   83  8.30e-05      2.75330e-01       2.28728e-01       2.59796e-01
   84  8.40e-05      2.78044e-01       2.81335e-01       2.79141e-01
   85  8.50e-05      2.84009e-01       2.37443e-01       2.68487e-01
   86  8.60e-05      2.89580e-01       2.64960e-01       2.81374e-01
   87  8.70e-05      2.93220e-01       2.10080e-01       2.65506e-01
   88  8.80e-05      2.92084e-01       2.56128e-01       2.80098e-01
   89  8.90e-05      2.97209e-01       2.24712e-01       2.73044e-01
   90  9.00e-05      3.02108e-01       2.46357e-01       2.83525e-01
   91  9.10e-05      3.11448e-01       2.64388e-01       2.95762e-01
   92  9.20e-05      3.14861e-01       2.70735e-01       3.00153e-01
   93  9.30e-05      3.15251e-01       2.50530e-01       2.93677e-01
   94  9.40e-05      3.22170e-01       2.81004e-01       3.08448e-01
   95  9.50e-05      3.25006e-01       2.52058e-01       3.00690e-01
   96  9.60e-05      3.21210e-01       2.89141e-01       3.10521e-01
   97  9.70e-05      3.29797e-01       2.58372e-01       3.05989e-01
   98  9.80e-05      3.28080e-01       2.44135e-01       3.00098e-01
   99  9.90e-05      3.34036e-01       2.37153e-01       3.01742e-01
  100  1.00e-04      3.33294e-01       2.08529e-01       2.91705e-01
  101  1.01e-04      3.34270e-01       2.45613e-01       3.04718e-01
  102  1.02e-04      3.40710e-01       2.72134e-01       3.17851e-01
  103  1.03e-04      3.40981e-01       2.65346e-01       3.15769e-01
  104  1.04e-04      3.41838e-01       2.96929e-01       3.26869e-01
  105  1.05e-04      3.45792e-01       2.40380e-01       3.10654e-01
  106  1.06e-04      3.59502e-01       2.78418e-01       3.32474e-01
  107  1.07e-04      3.59680e-01       2.14493e-01       3.11285e-01
  108  1.08e-04      3.65066e-01       2.68794e-01       3.32975e-01
  109  1.09e-04      3.65488e-01       2.26822e-01       3.19266e-01
  110  1.10e-04      3.63343e-01       2.69266e-01       3.31984e-01
  111  1.11e-04      3.58934e-01       2.48857e-01       3.22242e-01
  112  1.12e-04      3.54945e-01       2.33984e-01       3.14625e-01
  113  1.13e-04      3.65416e-01       2.60031e-01       3.30288e-01
  114  1.14e-04      3.70170e-01       2.33624e-01       3.24655e-01
  115  1.15e-04      3.76775e-01       2.70859e-01       3.41469e-01
  116  1.16e-04      3.82801e-01       2.10641e-01       3.25415e-01
  117  1.17e-04      3.87129e-01       2.82170e-01       3.52143e-01
  118  1.18e-04      3.91953e-01       1.98971e-01       3.27626e-01
  119  1.19e-04      3.91261e-01       2.70152e-01       3.50891e-01
  120  1.20e-04      3.90517e-01       2.18016e-01       3.33016e-01
  121  1.21e-04      3.98865e-01       2.58947e-01       3.52226e-01
  122  1.22e-04      3.98677e-01       2.53559e-01       3.50304e-01
  123  1.23e-04      4.05116e-01       2.58955e-01       3.56396e-01
  124  1.24e-04      4.12375e-01       2.58681e-01       3.61144e-01
  125  1.25e-04      4.10016e-01       2.34339e-01       3.51457e-01
  126  1.26e-04      4.20898e-01       3.11121e-01       3.84306e-01
  127  1.27e-04      4.28501e-01       2.19040e-01       3.58681e-01
  128  1.28e-04      4.40658e-01       2.94958e-01       3.92091e-01
  129  1.29e-04      4.51065e-01       2.64003e-01       3.88711e-01
  130  1.30e-04      4.48985e-01       2.54505e-01       3.84159e-01
  131  1.31e-04      4.50230e-01       2.90938e-01       3.97133e-01
  132  1.32e-04      4.54945e-01       2.81033e-01       3.96974e-01
  133  1.33e-04      4.58781e-01       2.79222e-01       3.98928e-01
  134  1.34e-04      4.71572e-01       2.89794e-01       4.10979e-01
  135  1.35e-04      4.69494e-01       2.65948e-01       4.01645e-01
  136  1.36e-04      4.60359e-01       2.69123e-01       3.96614e-01
  137  1.37e-04      4.62870e-01       2.53122e-01       3.92954e-01
  138  1.38e-04      4.64926e-01       2.11982e-01       3.80611e-01
  139  1.39e-04      4.65160e-01       2.87691e-01       4.06004e-01
  140  1.40e-04      4.55341e-01       2.61840e-01       3.90840e-01
  141  1.41e-04      4.64132e-01       2.87821e-01       4.05361e-01
  142  1.42e-04      4.73360e-01       2.80800e-01       4.09173e-01
  143  1.43e-04      4.75095e-01       2.91440e-01       4.13877e-01
  144  1.44e-04      4.90793e-01       2.45832e-01       4.09139e-01
  145  1.45e-04      4.94890e-01       2.61206e-01       4.16995e-01
  146  1.46e-04      4.91660e-01       2.81395e-01       4.21572e-01
  147  1.47e-04      4.91824e-01       2.68416e-01       4.17355e-01
  148  1.48e-04      5.01305e-01       3.00871e-01       4.34493e-01
  149  1.49e-04      4.98220e-01       2.30636e-01       4.09025e-01
  150  1.50e-04      4.99613e-01       2.83344e-01       4.27523e-01
  151  1.51e-04      4.95246e-01       2.69662e-01       4.20051e-01
  152  1.52e-04      4.94190e-01       2.57473e-01       4.15284e-01
  153  1.53e-04      5.03978e-01       2.59177e-01       4.22378e-01
  154  1.54e-04      5.00289e-01       2.63156e-01       4.21245e-01
  155  1.55e-04      5.08081e-01       2.49218e-01       4.21793e-01
  156  1.56e-04      5.09244e-01       3.06308e-01       4.41599e-01
  157  1.57e-04      5.13422e-01       2.27340e-01       4.18062e-01
  158  1.58e-04      5.16004e-01       2.93957e-01       4.41988e-01
  159  1.59e-04      5.17419e-01       2.41182e-01       4.25340e-01
  160  1.60e-04      5.14613e-01       2.89473e-01       4.39566e-01
  161  1.61e-04      5.14623e-01       2.97411e-01       4.42219e-01
  162  1.62e-04      5.12035e-01       2.46327e-01       4.23466e-01
  163  1.63e-04      5.16135e-01       2.46720e-01       4.26330e-01
  164  1.64e-04      5.24677e-01       2.79089e-01       4.42814e-01
  165  1.65e-04      5.23348e-01       2.13730e-01       4.20142e-01
  166  1.66e-04      5.30562e-01       2.26603e-01       4.29243e-01
  167  1.67e-04      5.44070e-01       2.52680e-01       4.46940e-01
  168  1.68e-04      5.56316e-01       2.67868e-01       4.60167e-01
  169  1.69e-04      5.62712e-01       2.81789e-01       4.69071e-01
  170  1.70e-04      5.60860e-01       2.60734e-01       4.60818e-01
  171  1.71e-04      5.71320e-01       2.35376e-01       4.59339e-01
  172  1.72e-04      5.69241e-01       2.60135e-01       4.66205e-01
  173  1.73e-04      5.75967e-01       2.54524e-01       4.68819e-01
  174  1.74e-04      5.85199e-01       2.54295e-01       4.74897e-01
  175  1.75e-04      5.83830e-01       3.34415e-01       5.00692e-01
  176  1.76e-04      5.87687e-01       2.58310e-01       4.77894e-01
  177  1.77e-04      5.95108e-01       2.90196e-01       4.93471e-01
  178  1.78e-04      5.91116e-01       2.92494e-01       4.91575e-01
  179  1.79e-04      6.02298e-01       2.56084e-01       4.86893e-01
  180  1.80e-04      6.02009e-01       2.91794e-01       4.98604e-01
  181  1.81e-04      6.00770e-01       2.40252e-01       4.80597e-01
  182  1.82e-04      6.05651e-01       2.33697e-01       4.81667e-01
  183  1.83e-04      6.13795e-01       2.96610e-01       5.08067e-01
  184  1.84e-04      6.18610e-01       2.07414e-01       4.81544e-01
  185  1.85e-04      6.22968e-01       2.75241e-01       5.07059e-01
  186  1.86e-04      6.35388e-01       2.41030e-01       5.03936e-01
  187  1.87e-04      6.42609e-01       2.67497e-01       5.17571e-01
  188  1.88e-04      6.45064e-01       2.60121e-01       5.16750e-01
  189  1.89e-04      6.52872e-01       2.80085e-01       5.28610e-01
  190  1.90e-04      6.55959e-01       2.53288e-01       5.21735e-01
  191  1.91e-04      6.62369e-01       2.66798e-01       5.30512e-01
  192  1.92e-04      6.76318e-01       2.25093e-01       5.25910e-01
  193  1.93e-04      6.83170e-01       3.35287e-01       5.67209e-01
  194  1.94e-04      6.94344e-01       2.62877e-01       5.50522e-01
  195  1.95e-04      7.01251e-01       3.00442e-01       5.67648e-01
  196  1.96e-04      7.07177e-01       3.25915e-01       5.80089e-01
  197  1.97e-04      7.10071e-01       2.88758e-01       5.69633e-01
  198  1.98e-04      7.05315e-01       2.49153e-01       5.53261e-01
  199  1.99e-04      7.12080e-01       2.83627e-01       5.69263e-01
  200  2.00e-04      7.09714e-01       3.11180e-01       5.76869e-01
  201  2.01e-04      7.16306e-01       2.60324e-01       5.64312e-01
  202  2.02e-04      7.15173e-01       3.42933e-01       5.91093e-01
  203  2.03e-04      7.24864e-01       2.76805e-01       5.75511e-01
  204  2.04e-04      7.20893e-01       2.74291e-01       5.72026e-01
  205  2.05e-04      7.33097e-01       3.36110e-01       6.00768e-01
  206  2.06e-04      7.37088e-01       2.64634e-01       5.79603e-01
  207  2.07e-04      7.32068e-01       2.83348e-01       5.82494e-01
  208  2.08e-04      7.34253e-01       3.01891e-01       5.90132e-01
  209  2.09e-04      7.39078e-01       3.35783e-01       6.04646e-01
  210  2.10e-04      7.28663e-01       2.82701e-01       5.80009e-01
  211  2.11e-04      7.37026e-01       3.14100e-01       5.96051e-01
  212  2.12e-04      7.38468e-01       2.78086e-01       5.85008e-01
  213  2.13e-04      7.32686e-01       2.70470e-01       5.78614e-01
  214  2.14e-04      7.42697e-01       2.34251e-01       5.73215e-01
  215  2.15e-04      7.42625e-01       2.75054e-01       5.86768e-01
  216  2.16e-04      7.49087e-01       2.86195e-01       5.94790e-01
  217  2.17e-04      7.58914e-01       2.90207e-01       6.02678e-01
  218  2.18e-04      7.60516e-01       3.16671e-01       6.12568e-01
  219  2.19e-04      7.59733e-01       2.79758e-01       5.99741e-01
  220  2.20e-04      7.72262e-01       2.92255e-01       6.12260e-01
  221  2.21e-04      7.63717e-01       2.93924e-01       6.07120e-01
  222  2.22e-04      7.76545e-01       2.92778e-01       6.15289e-01
  223  2.23e-04      7.79103e-01       2.69704e-01       6.09303e-01
  224  2.24e-04      7.77163e-01       2.47837e-01       6.00721e-01
  225  2.25e-04      7.77843e-01       2.75012e-01       6.10233e-01
  226  2.26e-04      7.76284e-01       2.70133e-01       6.07567e-01
  227  2.27e-04      7.80224e-01       2.77455e-01       6.12634e-01
  228  2.28e-04      7.82652e-01       2.98583e-01       6.21295e-01
  229  2.29e-04      7.75583e-01       2.66026e-01       6.05731e-01
  230  2.30e-04      7.74621e-01       3.25655e-01       6.24966e-01
  231  2.31e-04      7.85252e-01       2.35313e-01       6.01939e-01
  232  2.32e-04      7.89737e-01       3.21667e-01       6.33714e-01
  233  2.33e-04      7.82647e-01       2.59040e-01       6.08111e-01
  234  2.34e-04      7.83427e-01       2.85837e-01       6.17563e-01
  235  2.35e-04      7.79355e-01       2.95225e-01       6.17978e-01
  236  2.36e-04      7.80725e-01       2.59734e-01       6.07062e-01
  237  2.37e-04      7.92391e-01       2.81488e-01       6.22090e-01
  238  2.38e-04      7.96532e-01       3.13898e-01       6.35654e-01
  239  2.39e-04      7.98444e-01       2.81791e-01       6.26227e-01
  240  2.40e-04      7.93858e-01       2.94587e-01       6.27435e-01
  241  2.41e-04      7.96528e-01       3.00587e-01       6.31214e-01
  242  2.42e-04      8.09091e-01       2.80330e-01       6.32837e-01
  243  2.43e-04      8.06464e-01       3.19660e-01       6.44196e-01
  244  2.44e-04      8.08417e-01       3.19570e-01       6.45468e-01
  245  2.45e-04      8.20471e-01       3.15998e-01       6.52314e-01
  246  2.46e-04      8.24291e-01       3.23403e-01       6.57328e-01
  247  2.47e-04      8.21247e-01       2.82981e-01       6.41825e-01
  248  2.48e-04      8.21273e-01       3.20222e-01       6.54256e-01
  249  2.49e-04      8.34464e-01       2.64795e-01       6.44574e-01
  250  2.50e-04      8.46509e-01       3.23019e-01       6.72013e-01
  251  2.51e-04      8.46165e-01       2.77359e-01       6.56563e-01
  252  2.52e-04      8.47743e-01       2.84770e-01       6.60085e-01
  253  2.53e-04      8.60549e-01       3.09014e-01       6.76704e-01
  254  2.54e-04      8.58374e-01       2.71093e-01       6.62614e-01
  255  2.55e-04      8.63122e-01       3.11555e-01       6.79266e-01
  256  2.56e-04      8.65596e-01       3.20588e-01       6.83927e-01
  257  2.57e-04      8.61857e-01       2.86419e-01       6.70045e-01
  258  2.58e-04      8.76832e-01       2.59451e-01       6.71038e-01
  259  2.59e-04      8.65342e-01       3.32024e-01       6.87569e-01
  260  2.60e-04      8.64156e-01       2.86466e-01       6.71593e-01
  261  2.61e-04      8.70587e-01       2.97550e-01       6.79574e-01
  262  2.62e-04      8.63416e-01       3.08661e-01       6.78498e-01
  263  2.63e-04      8.69416e-01       2.86350e-01       6.75061e-01
  264  2.64e-04      8.85060e-01       2.45497e-01       6.71873e-01
  265  2.65e-04      8.80020e-01       2.97780e-01       6.85940e-01
  266  2.66e-04      8.69030e-01       3.06850e-01       6.81637e-01
  267  2.67e-04      8.75321e-01       2.86570e-01       6.79071e-01
  268  2.68e-04      8.77092e-01       2.81418e-01       6.78534e-01
  269  2.69e-04      8.85471e-01       3.36974e-01       7.02639e-01
  270  2.70e-04      8.99794e-01       3.01831e-01       7.00473e-01
  271  2.71e-04      8.92234e-01       3.11836e-01       6.98768e-01
  272  2.72e-04      8.93655e-01       3.68049e-01       7.18453e-01
  273  2.73e-04      8.83455e-01       3.05241e-01       6.90717e-01
  274  2.74e-04      8.92371e-01       3.00732e-01       6.95158e-01
  275  2.75e-04      8.94237e-01       3.15348e-01       7.01274e-01
  276  2.76e-04      8.89626e-01       3.49929e-01       7.09727e-01
  277  2.77e-04      8.98351e-01       3.13548e-01       7.03417e-01
  278  2.78e-04      8.97888e-01       2.96350e-01       6.97375e-01
  279  2.79e-04      8.83931e-01       3.29016e-01       6.98959e-01
  280  2.80e-04      8.89128e-01       3.12646e-01       6.96967e-01
  281  2.81e-04      8.92725e-01       2.74694e-01       6.86714e-01
  282  2.82e-04      8.86472e-01       3.74617e-01       7.15854e-01
  283  2.83e-04      9.05793e-01       2.82156e-01       6.97914e-01
  284  2.84e-04      9.14679e-01       3.51228e-01       7.26862e-01
  285  2.85e-04      9.17087e-01       2.33020e-01       6.89065e-01
  286  2.86e-04      9.16576e-01       3.48198e-01       7.27117e-01
  287  2.87e-04      9.05741e-01       2.88009e-01       6.99831e-01
  288  2.88e-04      9.11525e-01       3.31983e-01       7.18344e-01
  289  2.89e-04      9.16188e-01       2.89041e-01       7.07139e-01
  290  2.90e-04      9.21261e-01       3.41377e-01       7.27966e-01
  291  2.91e-04      9.12705e-01       2.60754e-01       6.95388e-01
  292  2.92e-04      9.10078e-01       3.78107e-01       7.32754e-01
  293  2.93e-04      9.08374e-01       3.13302e-01       7.10017e-01
