Delta = 0.000e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  5.00e-06      1.03585e-01       1.44259e-01       1.17143e-01
    2  1.00e-05      2.19236e-01       1.95696e-01       2.11389e-01
    3  1.50e-05      3.68739e-01       2.29382e-01       3.22287e-01
    4  2.00e-05      4.72026e-01       2.86912e-01       4.10321e-01
    5  2.50e-05      6.45002e-01       2.41689e-01       5.10564e-01
    6  3.00e-05      7.27012e-01       2.98909e-01       5.84311e-01
    7  3.50e-05      8.88376e-01       3.63060e-01       7.13270e-01
    8  4.00e-05      1.10034e+00       3.90438e-01       8.63708e-01
    9  4.50e-05      1.22497e+00       3.74819e-01       9.41588e-01
   10  5.00e-05      1.30841e+00       3.80917e-01       9.99247e-01
   11  5.50e-05      1.39399e+00       3.57375e-01       1.04845e+00
   12  6.00e-05      1.56503e+00       4.02976e-01       1.17768e+00
   13  6.50e-05      1.64868e+00       3.76978e-01       1.22478e+00
   14  7.00e-05      1.75828e+00       3.02396e-01       1.27298e+00
   15  7.50e-05      1.84984e+00       3.59430e-01       1.35304e+00
   16  8.00e-05      2.01544e+00       3.03107e-01       1.44466e+00
   17  8.50e-05      2.22288e+00       3.69152e-01       1.60497e+00
   18  9.00e-05      2.25384e+00       3.95078e-01       1.63425e+00
   19  9.50e-05      2.32698e+00       2.29984e-01       1.62798e+00
   20  1.00e-04      2.44682e+00       3.20706e-01       1.73811e+00
   21  1.05e-04      2.69691e+00       2.87922e-01       1.89392e+00
   22  1.10e-04      2.84533e+00       3.43950e-01       2.01154e+00
   23  1.15e-04      3.03835e+00       3.15686e-01       2.13079e+00
   24  1.20e-04      3.12433e+00       3.09650e-01       2.18610e+00
   25  1.25e-04      3.12834e+00       3.21690e-01       2.19279e+00
   26  1.30e-04      3.06640e+00       3.75506e-01       2.16943e+00
   27  1.35e-04      3.22021e+00       3.68947e-01       2.26979e+00
   28  1.40e-04      3.23654e+00       3.52439e-01       2.27517e+00
   29  1.45e-04      3.43058e+00       3.68980e-01       2.41005e+00
   30  1.50e-04      3.53095e+00       3.60923e-01       2.47427e+00
   31  1.55e-04      3.63067e+00       4.19034e-01       2.56012e+00
   32  1.60e-04      3.83005e+00       3.98927e-01       2.68634e+00
   33  1.65e-04      4.03133e+00       3.59729e-01       2.80746e+00
   34  1.70e-04      4.20482e+00       3.57979e-01       2.92254e+00
   35  1.75e-04      4.20972e+00       3.92000e-01       2.93715e+00
   36  1.80e-04      4.42257e+00       3.38731e-01       3.06129e+00
   37  1.85e-04      4.52874e+00       3.28613e-01       3.12870e+00
   38  1.90e-04      4.70813e+00       4.30560e-01       3.28228e+00
   39  1.95e-04      4.67466e+00       3.67023e-01       3.23878e+00
   40  2.00e-04      4.71659e+00       3.59639e-01       3.26427e+00
   41  2.05e-04      5.10239e+00       3.15379e-01       3.50672e+00
   42  2.10e-04      5.15721e+00       3.41655e-01       3.55202e+00
   43  2.15e-04      5.42147e+00       3.43054e-01       3.72867e+00
   44  2.20e-04      5.45463e+00       4.72695e-01       3.79398e+00
   45  2.25e-04      5.47125e+00       3.67056e-01       3.76985e+00
   46  2.30e-04      5.59081e+00       3.15722e-01       3.83245e+00
   47  2.35e-04      5.70885e+00       3.14264e-01       3.91065e+00
   48  2.40e-04      5.81410e+00       3.91068e-01       4.00642e+00
   49  2.45e-04      5.83996e+00       3.87129e-01       4.02235e+00
   50  2.50e-04      5.96269e+00       4.40219e-01       4.12187e+00
   51  2.55e-04      6.23582e+00       3.40777e-01       4.27081e+00
   52  2.60e-04      6.45800e+00       2.75273e-01       4.39709e+00
   53  2.65e-04      6.47472e+00       3.17050e-01       4.42216e+00
   54  2.70e-04      6.51062e+00       3.50490e-01       4.45725e+00
   55  2.75e-04      6.63714e+00       3.56925e-01       4.54373e+00
   56  2.80e-04      7.02693e+00       3.99291e-01       4.81772e+00
   57  2.85e-04      7.02223e+00       3.66016e-01       4.80349e+00
   58  2.90e-04      7.17184e+00       3.87964e-01       4.91055e+00
   59  2.95e-04      7.36620e+00       3.83299e-01       5.03857e+00
   60  3.00e-04      7.66712e+00       4.03810e-01       5.24602e+00
   61  3.05e-04      7.78186e+00       3.85018e-01       5.31625e+00
   62  3.10e-04      8.05943e+00       3.58633e-01       5.49249e+00
   63  3.15e-04      8.19573e+00       4.15399e-01       5.60228e+00
   64  3.20e-04      8.28787e+00       3.43706e-01       5.63981e+00
   65  3.25e-04      8.44531e+00       2.89014e-01       5.72655e+00
   66  3.30e-04      8.54094e+00       3.19542e-01       5.80047e+00
   67  3.35e-04      8.77552e+00       3.87939e-01       5.97966e+00
   68  3.40e-04      9.05222e+00       2.73042e-01       6.12583e+00
   69  3.45e-04      9.16050e+00       3.80525e-01       6.23384e+00
   70  3.50e-04      9.53579e+00       2.92735e-01       6.45477e+00
   71  3.55e-04      9.83969e+00       3.38519e-01       6.67263e+00
   72  3.60e-04      1.00189e+01       3.19044e-01       6.78563e+00
   73  3.65e-04      1.01725e+01       4.16600e-01       6.92052e+00
   74  3.70e-04      1.04153e+01       3.46775e-01       7.05914e+00
   75  3.75e-04      1.03625e+01       3.84914e-01       7.03664e+00
   76  3.80e-04      1.02882e+01       2.51921e-01       6.94279e+00
   77  3.85e-04      1.05279e+01       3.25221e-01       7.12699e+00
   78  3.90e-04      1.05409e+01       3.30355e-01       7.13736e+00
   79  3.95e-04      1.07439e+01       3.61883e-01       7.28326e+00
   80  4.00e-04      1.09937e+01       3.60496e-01       7.44930e+00
   81  4.05e-04      1.11103e+01       3.67788e-01       7.52949e+00
   82  4.10e-04      1.14241e+01       3.71240e-01       7.73978e+00
   83  4.15e-04      1.10314e+01       3.65760e-01       7.47620e+00
   84  4.20e-04      1.11905e+01       3.49397e-01       7.57683e+00
   85  4.25e-04      1.11558e+01       3.39030e-01       7.55019e+00
   86  4.30e-04      1.12783e+01       3.12602e-01       7.62306e+00
   87  4.35e-04      1.15148e+01       3.65133e-01       7.79827e+00
   88  4.40e-04      1.17203e+01       3.82722e-01       7.94107e+00
   89  4.45e-04      1.20053e+01       3.05646e-01       8.10544e+00
   90  4.50e-04      1.23115e+01       2.95197e-01       8.30605e+00
   91  4.55e-04      1.24348e+01       3.92390e-01       8.42067e+00
   92  4.60e-04      1.27212e+01       2.82364e-01       8.57492e+00
   93  4.65e-04      1.27323e+01       3.35554e-01       8.60002e+00
   94  4.70e-04      1.27505e+01       3.89124e-01       8.63005e+00
   95  4.75e-04      1.30487e+01       3.19560e-01       8.80569e+00
   96  4.80e-04      1.30974e+01       4.06009e-01       8.86697e+00
   97  4.85e-04      1.33547e+01       3.70893e-01       9.02673e+00
   98  4.90e-04      1.35762e+01       3.39165e-01       9.16385e+00
   99  4.95e-04      1.36753e+01       3.54932e-01       9.23515e+00
  100  5.00e-04      1.38726e+01       3.73251e-01       9.37281e+00
  101  5.05e-04      1.41129e+01       3.48848e-01       9.52487e+00
  102  5.10e-04      1.44511e+01       3.58502e-01       9.75355e+00
  103  5.15e-04      1.46769e+01       2.79479e-01       9.87777e+00
  104  5.20e-04      1.49608e+01       2.47837e-01       1.00565e+01
  105  5.25e-04      1.50059e+01       3.51517e-01       1.01211e+01
  106  5.30e-04      1.52536e+01       2.46108e-01       1.02511e+01
  107  5.35e-04      1.56473e+01       2.75910e-01       1.05235e+01
  108  5.40e-04      1.58572e+01       3.78499e-01       1.06976e+01
  109  5.45e-04      1.55798e+01       3.30156e-01       1.04966e+01
  110  5.50e-04      1.56841e+01       3.86194e-01       1.05848e+01
  111  5.55e-04      1.56577e+01       3.72607e-01       1.05626e+01
  112  5.60e-04      1.58473e+01       3.08705e-01       1.06678e+01
  113  5.65e-04      1.59038e+01       3.19158e-01       1.07089e+01
  114  5.70e-04      1.60959e+01       3.10686e-01       1.08341e+01
  115  5.75e-04      1.60083e+01       3.33259e-01       1.07833e+01
  116  5.80e-04      1.58998e+01       3.05538e-01       1.07017e+01
  117  5.85e-04      1.61787e+01       3.42632e-01       1.09000e+01
  118  5.90e-04      1.65922e+01       3.06129e-01       1.11635e+01
  119  5.95e-04      1.71061e+01       3.40878e-01       1.15177e+01
  120  6.00e-04      1.71445e+01       3.88823e-01       1.15593e+01
  121  6.05e-04      1.76668e+01       3.44211e-01       1.18926e+01
  122  6.10e-04      1.80168e+01       3.66590e-01       1.21334e+01
  123  6.15e-04      1.79952e+01       3.15103e-01       1.21019e+01
  124  6.20e-04      1.78100e+01       3.34671e-01       1.19849e+01
  125  6.25e-04      1.81992e+01       3.79429e-01       1.22593e+01
  126  6.30e-04      1.81038e+01       4.29880e-01       1.22125e+01
  127  6.35e-04      1.85873e+01       4.49482e-01       1.25413e+01
  128  6.40e-04      1.86220e+01       3.70963e-01       1.25383e+01
  129  6.45e-04      1.87819e+01       3.62908e-01       1.26422e+01
  130  6.50e-04      1.89062e+01       3.99172e-01       1.27372e+01
  131  6.55e-04      1.91930e+01       4.29149e-01       1.29384e+01
  132  6.60e-04      1.94745e+01       3.55109e-01       1.31014e+01
  133  6.65e-04      1.98499e+01       3.52067e-01       1.33506e+01
  134  6.70e-04      1.99751e+01       4.05831e-01       1.34520e+01
  135  6.75e-04      1.98313e+01       3.31973e-01       1.33315e+01
  136  6.80e-04      1.97070e+01       3.94372e-01       1.32695e+01
  137  6.85e-04      1.98838e+01       3.26527e-01       1.33647e+01
  138  6.90e-04      2.00416e+01       2.88148e-01       1.34571e+01
  139  6.95e-04      1.97796e+01       3.59663e-01       1.33063e+01
  140  7.00e-04      1.99204e+01       2.64458e-01       1.33684e+01
  141  7.05e-04      2.00131e+01       3.34189e-01       1.34535e+01
  142  7.10e-04      2.03816e+01       3.82042e-01       1.37151e+01
  143  7.15e-04      2.04800e+01       3.34544e-01       1.37649e+01
  144  7.20e-04      2.07471e+01       2.76525e-01       1.39236e+01
  145  7.25e-04      2.09032e+01       3.16218e-01       1.40409e+01
  146  7.30e-04      2.11144e+01       3.14302e-01       1.41810e+01
  147  7.35e-04      2.15308e+01       2.81579e-01       1.44477e+01
  148  7.40e-04      2.12522e+01       2.57539e-01       1.42540e+01
  149  7.45e-04      2.13922e+01       3.07166e-01       1.43638e+01
  150  7.50e-04      2.14819e+01       3.36294e-01       1.44334e+01
  151  7.55e-04      2.15589e+01       3.27087e-01       1.44817e+01
  152  7.60e-04      2.14781e+01       2.98689e-01       1.44183e+01
  153  7.65e-04      2.16558e+01       3.46011e-01       1.45525e+01
  154  7.70e-04      2.20938e+01       3.32810e-01       1.48401e+01
  155  7.75e-04      2.25961e+01       2.31816e-01       1.51413e+01
  156  7.80e-04      2.27712e+01       3.08877e-01       1.52838e+01
  157  7.85e-04      2.25753e+01       2.47543e-01       1.51327e+01
  158  7.90e-04      2.25868e+01       2.56656e-01       1.51434e+01
  159  7.95e-04      2.23716e+01       3.37441e-01       1.50269e+01
  160  8.00e-04      2.30186e+01       3.46323e-01       1.54612e+01
  161  8.05e-04      2.28689e+01       3.48830e-01       1.53622e+01
  162  8.10e-04      2.30709e+01       3.41309e-01       1.54944e+01
  163  8.15e-04      2.31325e+01       2.81886e-01       1.55156e+01
  164  8.20e-04      2.32952e+01       3.49086e-01       1.56465e+01
  165  8.25e-04      2.35044e+01       3.52094e-01       1.57869e+01
  166  8.30e-04      2.33864e+01       3.56092e-01       1.57096e+01
  167  8.35e-04      2.38066e+01       2.92543e-01       1.59686e+01
  168  8.40e-04      2.39884e+01       3.88690e-01       1.61218e+01
  169  8.45e-04      2.42956e+01       3.29026e-01       1.63067e+01
  170  8.50e-04      2.42822e+01       2.75134e-01       1.62798e+01
  171  8.55e-04      2.38808e+01       3.19026e-01       1.60268e+01
  172  8.60e-04      2.39233e+01       3.48214e-01       1.60649e+01
  173  8.65e-04      2.37572e+01       2.86568e-01       1.59336e+01
  174  8.70e-04      2.32883e+01       3.42845e-01       1.56398e+01
  175  8.75e-04      2.34147e+01       3.55083e-01       1.57281e+01
  176  8.80e-04      2.36519e+01       3.37589e-01       1.58805e+01
  177  8.85e-04      2.37325e+01       3.16859e-01       1.59273e+01
  178  8.90e-04      2.40115e+01       3.42367e-01       1.61218e+01
  179  8.95e-04      2.38248e+01       3.87738e-01       1.60124e+01
  180  9.00e-04      2.38460e+01       3.07832e-01       1.59999e+01
  181  9.05e-04      2.40522e+01       3.11558e-01       1.61387e+01
  182  9.10e-04      2.41777e+01       3.62273e-01       1.62392e+01
  183  9.15e-04      2.43804e+01       3.72439e-01       1.63777e+01
  184  9.20e-04      2.48515e+01       3.06551e-01       1.66698e+01
  185  9.25e-04      2.46116e+01       3.37783e-01       1.65203e+01
  186  9.30e-04      2.46300e+01       3.12681e-01       1.65242e+01
  187  9.35e-04      2.46789e+01       3.36502e-01       1.65648e+01
  188  9.40e-04      2.48710e+01       3.82566e-01       1.67082e+01
  189  9.45e-04      2.47027e+01       3.58950e-01       1.65881e+01
  190  9.50e-04      2.51291e+01       2.46605e-01       1.68349e+01
  191  9.55e-04      2.54612e+01       2.84240e-01       1.70689e+01
