Delta = -6.368e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      1.07561e-02       1.97177e-02       1.37433e-02
    2  2.00e-06      2.05365e-02       4.97716e-02       3.02815e-02
    3  3.00e-06      3.32085e-02       6.95605e-02       4.53258e-02
    4  4.00e-06      4.44926e-02       7.19461e-02       5.36438e-02
    5  5.00e-06      5.48999e-02       8.39060e-02       6.45686e-02
    6  6.00e-06      7.29298e-02       1.01094e-01       8.23177e-02
    7  7.00e-06      8.33416e-02       1.34101e-01       1.00261e-01
    8  8.00e-06      9.07130e-02       1.22449e-01       1.01292e-01
    9  9.00e-06      1.07468e-01       1.70341e-01       1.28426e-01
   10  1.00e-05      1.13722e-01       1.34503e-01       1.20649e-01
   11  1.10e-05      1.36182e-01       1.92196e-01       1.54853e-01
   12  1.20e-05      1.50779e-01       1.78574e-01       1.60044e-01
   13  1.30e-05      1.60828e-01       2.01382e-01       1.74346e-01
   14  1.40e-05      1.68462e-01       1.91616e-01       1.76180e-01
   15  1.50e-05      1.85748e-01       1.85429e-01       1.85641e-01
   16  1.60e-05      1.92955e-01       2.19049e-01       2.01653e-01
   17  1.70e-05      2.06662e-01       2.23515e-01       2.12280e-01
   18  1.80e-05      2.15996e-01       2.52069e-01       2.28020e-01
   19  1.90e-05      2.27035e-01       2.32739e-01       2.28936e-01
   20  2.00e-05      2.44216e-01       2.55363e-01       2.47932e-01
   21  2.10e-05      2.54806e-01       2.26249e-01       2.45287e-01
   22  2.20e-05      2.72453e-01       2.75068e-01       2.73325e-01
   23  2.30e-05      2.96851e-01       2.67806e-01       2.87169e-01
   24  2.40e-05      3.12350e-01       2.43888e-01       2.89529e-01
   25  2.50e-05      3.29232e-01       2.74746e-01       3.11070e-01
   26  2.60e-05      3.26205e-01       2.65805e-01       3.06072e-01
   27  2.70e-05      3.41220e-01       2.66521e-01       3.16320e-01
   28  2.80e-05      3.44976e-01       2.74715e-01       3.21556e-01
   29  2.90e-05      3.56591e-01       2.50457e-01       3.21213e-01
   30  3.00e-05      3.56817e-01       2.73505e-01       3.29046e-01
   31  3.10e-05      3.69717e-01       2.66826e-01       3.35420e-01
   32  3.20e-05      3.86504e-01       3.01586e-01       3.58198e-01
   33  3.30e-05      4.10754e-01       2.75400e-01       3.65636e-01
   34  3.40e-05      4.24275e-01       3.00620e-01       3.83056e-01
   35  3.50e-05      4.26616e-01       2.91542e-01       3.81591e-01
   36  3.60e-05      4.30573e-01       3.08790e-01       3.89979e-01
   37  3.70e-05      4.46857e-01       3.18009e-01       4.03907e-01
   38  3.80e-05      4.70060e-01       3.25443e-01       4.21854e-01
   39  3.90e-05      4.81654e-01       2.84350e-01       4.15886e-01
   40  4.00e-05      4.80662e-01       2.81152e-01       4.14159e-01
   41  4.10e-05      4.76486e-01       3.01891e-01       4.18288e-01
   42  4.20e-05      4.73613e-01       2.89173e-01       4.12133e-01
   43  4.30e-05      4.73957e-01       3.76329e-01       4.41414e-01
   44  4.40e-05      4.78401e-01       3.08210e-01       4.21671e-01
   45  4.50e-05      4.78295e-01       3.25290e-01       4.27293e-01
   46  4.60e-05      5.02869e-01       3.49393e-01       4.51710e-01
   47  4.70e-05      4.99938e-01       3.86255e-01       4.62044e-01
   48  4.80e-05      5.17634e-01       3.15727e-01       4.50332e-01
   49  4.90e-05      5.32437e-01       3.61905e-01       4.75593e-01
   50  5.00e-05      5.48287e-01       3.03184e-01       4.66586e-01
   51  5.10e-05      5.68050e-01       3.59098e-01       4.98399e-01
   52  5.20e-05      5.75579e-01       3.11074e-01       4.87411e-01
   53  5.30e-05      5.90836e-01       3.54048e-01       5.11907e-01
   54  5.40e-05      6.02236e-01       3.52913e-01       5.19129e-01
   55  5.50e-05      6.10961e-01       3.44321e-01       5.22081e-01
   56  5.60e-05      6.30286e-01       3.53684e-01       5.38086e-01
   57  5.70e-05      6.47772e-01       3.63092e-01       5.52879e-01
   58  5.80e-05      6.60294e-01       3.33055e-01       5.51214e-01
   59  5.90e-05      6.68572e-01       3.02057e-01       5.46400e-01
   60  6.00e-05      6.74543e-01       2.55613e-01       5.34900e-01
   61  6.10e-05      7.03640e-01       3.01535e-01       5.69605e-01
   62  6.20e-05      7.11888e-01       3.26102e-01       5.83293e-01
   63  6.30e-05      7.04437e-01       3.35436e-01       5.81437e-01
   64  6.40e-05      7.19439e-01       3.21204e-01       5.86694e-01
   65  6.50e-05      7.19035e-01       3.13327e-01       5.83799e-01
